code,eps
1101,2.03
1102,1.74
1103,1.39
1104,2.16
1108,-0.25
1109,1.32
1110,0.11
1201,1.31
1203,1.86
1210,3.28
1213,0.04
1215,5.35
1216,7.01
1217,0.27
1218,0.93
1219,0.44
1220,0.44
1225,1.13
1227,2.39
1229,3.11
1231,2.54
1232,5.11
1233,1.94
1234,1.35
1235,5.23
1236,0.05
1256,10.01
1262,4.69
1301,7.76
1303,6.87
1304,1.06
1305,2.58
1307,2.27
1308,1.09
1309,1.53
1310,2
1312,3.64
1313,2.02
1314,2.55
1315,0.9
1316,3.17
1319,3.96
1321,-0.37
1323,2.76
1324,0.8
1325,0.51
1326,9.33
1337,0.68
1338,9.25
1339,3.72
1340,6.61
1341,4.61
1402,1.61
1409,0.6
1410,1.28
1413,0.88
1414,0.41
1416,1.13
1417,-1.21
1418,-7.42
1419,4.15
1423,0.27
1432,-0.85
1434,2.54
1435,0.01
1436,3.15
1437,1.6
1438,-0.05
1439,-0.07
1440,0.45
1441,-3.82
1442,2.02
1443,-1.79
1444,-0.01
1445,0.09
1446,-0.29
1447,-0.21
1449,0.47
1451,0.94
1452,1.63
1453,-0.3
1454,0.14
1455,0.59
1456,0.41
1457,2.52
1459,0.3
1460,0.47
1463,3.5
1464,1.21
1465,0.25
1466,-0.03
1467,-0.36
1468,-0.59
1470,0.49
1471,-2.32
1472,-1.08
1473,0.64
1474,0.84
1475,-12.31
1476,11.12
1477,6.18
1503,2.55
1504,1.56
1506,-0.12
1507,2.76
1512,-3.09
1513,1.19
1514,0.58
1515,1.49
1516,0.55
1517,-0.18
1519,0.36
1521,6.55
1522,2.12
1524,0.92
1525,7.36
1526,2.71
1527,1.48
1528,0.55
1529,0.11
1530,1.83
1531,0.85
1532,1.58
1533,1.15
1535,1.51
1536,4.81
1537,11.04
1538,-1.85
1539,1.17
1540,0.54
1541,1.71
1558,8.68
1560,5.2
1568,1.86
1582,5.42
1583,3.44
1587,0.27
1589,2.28
1590,18.07
1592,2.75
1598,-1.62
1603,1.77
1604,0.67
1605,1.97
