"code","ind","date","open","high","low","close","n"
1101,1,20180102,27.68,27.79,27.37,27.75,1
1102,1,20180102,25.9,26,25.67,25.81,2
1103,1,20180102,12.12,12.21,11.94,12.21,3
1104,1,20180102,20.66,20.7,20.57,20.66,4
1108,1,20180102,8.35,8.4,8.35,8.4,5
1109,1,20180102,12.68,13.17,12.68,13.02,6
1110,1,20180102,14.56,14.56,14.31,14.46,7
1201,2,20180102,20.65,20.65,20.35,20.5,8
1203,2,20180102,23.97,24.21,23.97,24.07,9
1210,2,20180102,27.46,27.54,27.33,27.42,10
1213,2,20180102,15.6,15.75,15.5,15.55,11
1215,2,20180102,58.77,59.23,58.32,58.77,12
1216,2,20180102,59.49,60.58,59.22,60.58,13
1217,2,20180102,7.5,7.55,7.5,7.53,14
1218,2,20180102,15.94,16.31,15.94,16.08,15
1219,2,20180102,17.46,17.51,17.32,17.46,16
1220,2,20180102,9.65,9.74,9.65,9.7,17
1225,2,20180102,64.78,65.45,64.78,64.78,18
1227,2,20180102,68.64,69.1,68.46,68.92,19
1229,2,20180102,28.95,28.95,28.47,28.75,20
1231,2,20180102,28.73,28.81,28.69,28.73,21
1232,2,20180102,82.26,82.35,82.08,82.26,22
1233,2,20180102,32.3,32.3,31.94,32.03,23
1234,2,20180102,28.48,28.52,28.39,28.48,24
1235,2,20180102,25.86,26.03,25.58,25.82,25
1236,2,20180102,16.79,17.13,16.7,16.99,26
1256,2,20180102,124.42,124.42,123.13,123.99,27
1402,4,20180102,24.64,24.83,24.46,24.46,28
1409,4,20180102,9.04,9.08,8.99,9.04,29
1410,4,20180102,21.04,21.04,20.91,20.91,30
1413,4,20180102,9.2,9.2,9.05,9.07,31
1414,4,20180102,6.87,6.87,6.8,6.8,32
1416,4,20180102,14.3,14.3,14.17,14.17,33
1417,4,20180102,4.71,4.72,4.68,4.72,34
1418,4,20180102,7.95,7.95,7.95,7.95,35
1419,4,20180102,39.34,40.38,39.34,39.66,36
1423,4,20180102,8.44,8.47,8.4,8.4,37
1434,4,20180102,27.96,28,27.78,27.96,38
1439,4,20180102,20.65,20.8,20.35,20.55,39
1440,4,20180102,12.85,12.99,12.85,12.99,40
1441,4,20180102,5.21,5.3,5.21,5.29,41
1443,4,20180102,5.1,5.15,5.05,5.1,42
1444,4,20180102,10.8,10.8,10.61,10.71,43
1445,4,20180102,7.9,7.92,7.88,7.92,44
1446,4,20180102,20.94,21.24,20.89,21.24,45
1447,4,20180102,8.95,8.96,8.76,8.78,46
1449,4,20180102,5.35,5.41,5.35,5.37,47
1451,4,20180102,24.13,24.13,23.95,24,48
1452,4,20180102,19.27,19.36,19.27,19.36,49
1453,4,20180102,9.18,9.23,9.09,9.09,50
1454,4,20180102,8.07,8.07,8.04,8.05,51
1455,4,20180102,12.07,12.12,11.74,11.93,52
1456,4,20180102,10.45,10.55,10.35,10.45,53
1457,4,20180102,12.34,12.56,12.25,12.38,54
1459,4,20180102,10.08,10.13,9.8,9.88,55
1460,4,20180102,13.59,13.59,13.54,13.59,56
1463,4,20180102,19.31,19.43,19.31,19.35,57
1464,4,20180102,21.38,21.55,21.38,21.42,58
1465,4,20180102,14.64,14.69,14.35,14.5,59
1466,4,20180102,11.95,12.1,11.95,12,60
1467,4,20180102,11.55,11.6,11.5,11.55,61
1468,4,20180102,10.3,10.4,10.3,10.35,62
1470,4,20180102,17.2,17.53,17.2,17.53,63
1472,4,20180102,40.77,41.35,40.38,40.38,64
1473,4,20180102,22.87,23.54,22.82,23.54,65
1474,4,20180102,10.51,10.51,10.42,10.46,66
1475,4,20180102,48.2,48.2,45,45,67
1476,4,20180102,283.9,287.69,281.06,281.06,68
1477,4,20180102,110.07,110.95,109.63,110.51,69
1503,5,20180102,38.71,38.8,38.71,38.71,70
1504,5,20180102,26.3,26.44,26.21,26.4,71
1506,5,20180102,21.4,21.45,21.2,21.3,72
1507,5,20180102,44.62,45.23,44.43,44.81,73
1513,5,20180102,20.19,20.51,20.15,20.51,74
1514,5,20180102,10.68,10.81,10.59,10.81,75
1515,5,20180102,49.27,50.12,47.66,49.55,76
1517,5,20180102,11.18,11.32,11.13,11.18,77
1519,5,20180102,20.4,20.59,19.77,20.3,78
1526,5,20180102,57.28,59.24,55.85,59.24,79
1527,5,20180102,60.48,60.57,59.3,59.39,80
1528,5,20180102,13.89,13.94,13.7,13.94,81
1529,5,20180102,25.1,25.1,24.94,24.94,82
1530,5,20180102,29.12,29.4,28.94,29.4,83
1531,5,20180102,21.73,21.83,21.69,21.69,84
1532,5,20180102,24.93,24.93,24.76,24.93,85
1535,5,20180102,39.99,40.09,39.71,40.09,86
1537,5,20180102,125.74,126.18,124.86,125.74,87
1538,5,20180102,7.41,7.47,7.38,7.39,88
1539,5,20180102,17.87,18.09,17.73,17.82,89
