code,ind,date,open,high,low,close
1101,1,20180102,27.68,27.79,27.37,27.75
1102,1,20180102,25.9,26,25.67,25.81
1103,1,20180102,12.12,12.21,11.94,12.21
1104,1,20180102,20.66,20.7,20.57,20.66
1108,1,20180102,8.35,8.4,8.35,8.4
1109,1,20180102,12.68,13.17,12.68,13.02
1110,1,20180102,14.56,14.56,14.31,14.46
1201,2,20180102,20.65,20.65,20.35,20.5
1203,2,20180102,23.97,24.21,23.97,24.07
1210,2,20180102,27.46,27.54,27.33,27.42
1213,2,20180102,15.6,15.75,15.5,15.55
1215,2,20180102,58.77,59.23,58.32,58.77
1216,2,20180102,59.49,60.58,59.22,60.58
1217,2,20180102,7.5,7.55,7.5,7.53
1218,2,20180102,15.94,16.31,15.94,16.08
1219,2,20180102,17.46,17.51,17.32,17.46
1220,2,20180102,9.65,9.74,9.65,9.7
1225,2,20180102,64.78,65.45,64.78,64.78
1227,2,20180102,68.64,69.1,68.46,68.92
1229,2,20180102,28.95,28.95,28.47,28.75
1231,2,20180102,28.73,28.81,28.69,28.73
1232,2,20180102,82.26,82.35,82.08,82.26
1233,2,20180102,32.3,32.3,31.94,32.03
1234,2,20180102,28.48,28.52,28.39,28.48
1235,2,20180102,25.86,26.03,25.58,25.82
1236,2,20180102,16.79,17.13,16.7,16.99
1256,2,20180102,124.42,124.42,123.13,123.99
1402,4,20180102,24.64,24.83,24.46,24.46
1409,4,20180102,9.04,9.08,8.99,9.04
1410,4,20180102,21.04,21.04,20.91,20.91
1413,4,20180102,9.2,9.2,9.05,9.07
1414,4,20180102,6.87,6.87,6.8,6.8
1416,4,20180102,14.3,14.3,14.17,14.17
1417,4,20180102,4.71,4.72,4.68,4.72
1418,4,20180102,7.95,7.95,7.95,7.95
1419,4,20180102,39.34,40.38,39.34,39.66
1423,4,20180102,8.44,8.47,8.4,8.4
1434,4,20180102,27.96,28,27.78,27.96
1439,4,20180102,20.65,20.8,20.35,20.55
1440,4,20180102,12.85,12.99,12.85,12.99
1441,4,20180102,5.21,5.3,5.21,5.29
1443,4,20180102,5.1,5.15,5.05,5.1
1444,4,20180102,10.8,10.8,10.61,10.71
1445,4,20180102,7.9,7.92,7.88,7.92
1446,4,20180102,20.94,21.24,20.89,21.24
1447,4,20180102,8.95,8.96,8.76,8.78
1449,4,20180102,5.35,5.41,5.35,5.37
1451,4,20180102,24.13,24.13,23.95,24
1452,4,20180102,19.27,19.36,19.27,19.36
1453,4,20180102,9.18,9.23,9.09,9.09
1454,4,20180102,8.07,8.07,8.04,8.05
1455,4,20180102,12.07,12.12,11.74,11.93
1456,4,20180102,10.45,10.55,10.35,10.45
1457,4,20180102,12.34,12.56,12.25,12.38
1459,4,20180102,10.08,10.13,9.8,9.88
1460,4,20180102,13.59,13.59,13.54,13.59
1463,4,20180102,19.31,19.43,19.31,19.35
1464,4,20180102,21.38,21.55,21.38,21.42
1465,4,20180102,14.64,14.69,14.35,14.5
1466,4,20180102,11.95,12.1,11.95,12
1467,4,20180102,11.55,11.6,11.5,11.55
1468,4,20180102,10.3,10.4,10.3,10.35
1470,4,20180102,17.2,17.53,17.2,17.53
1472,4,20180102,40.77,41.35,40.38,40.38
1473,4,20180102,22.87,23.54,22.82,23.54
1474,4,20180102,10.51,10.51,10.42,10.46
1475,4,20180102,48.2,48.2,45,45
1476,4,20180102,283.9,287.69,281.06,281.06
1477,4,20180102,110.07,110.95,109.63,110.51
1503,5,20180102,38.71,38.8,38.71,38.71
1504,5,20180102,26.3,26.44,26.21,26.4
1506,5,20180102,21.4,21.45,21.2,21.3
1507,5,20180102,44.62,45.23,44.43,44.81
1513,5,20180102,20.19,20.51,20.15,20.51
1514,5,20180102,10.68,10.81,10.59,10.81
1515,5,20180102,49.27,50.12,47.66,49.55
1517,5,20180102,11.18,11.32,11.13,11.18
1519,5,20180102,20.4,20.59,19.77,20.3
1526,5,20180102,57.28,59.24,55.85,59.24
1527,5,20180102,60.48,60.57,59.3,59.39
1528,5,20180102,13.89,13.94,13.7,13.94
1529,5,20180102,25.1,25.1,24.94,24.94
1530,5,20180102,29.12,29.4,28.94,29.4
1531,5,20180102,21.73,21.83,21.69,21.69
1532,5,20180102,24.93,24.93,24.76,24.93
1535,5,20180102,39.99,40.09,39.71,40.09
1537,5,20180102,125.74,126.18,124.86,125.74
1538,5,20180102,7.41,7.47,7.38,7.39
1539,5,20180102,17.87,18.09,17.73,17.82
1540,5,20180102,14.15,14.19,14.06,14.15
1541,5,20180102,45.12,45.12,44.09,44.09
1558,5,20180102,111.57,112.01,111.57,112.01
1560,5,20180102,77.96,77.96,76.17,76.44
1583,5,20180102,57.3,57.3,57.3,57.3
1589,5,20180102,62.04,62.72,62.04,62.72
1590,5,20180102,523.44,526.37,500.98,510.74
1702,2,20180102,58.39,58.39,57.85,57.85
1737,2,20180102,25.17,25.26,25.12,25.26
2049,5,20180102,290.22,290.22,285.27,287.97
2371,5,20180102,19.3,19.3,19,19.3
1101,1,20180103,27.72,28.36,27.53,28.36
1102,1,20180103,25.9,26,25.72,26
1103,1,20180103,12.21,12.21,12.03,12.08
1104,1,20180103,20.66,20.7,20.57,20.66
1108,1,20180103,8.4,8.4,8.35,8.35
1109,1,20180103,13.07,13.7,12.88,13.36
1110,1,20180103,14.46,14.51,14.31,14.36
1201,2,20180103,20.5,20.74,20.31,20.31
1203,2,20180103,24.07,24.21,24.07,24.16
1210,2,20180103,27.46,27.46,27.09,27.13
1213,2,20180103,15.55,15.65,15.5,15.55
1215,2,20180103,58.95,59.23,58.32,58.59
1216,2,20180103,60.58,61.03,59.85,60.85
1217,2,20180103,7.54,7.58,7.54,7.56
1218,2,20180103,16.17,16.22,16.12,16.12
1219,2,20180103,17.37,17.46,17.32,17.46
1220,2,20180103,9.74,9.74,9.7,9.74
1225,2,20180103,64.78,64.78,64.68,64.68
1227,2,20180103,69.1,69.38,69.01,69.38
1229,2,20180103,28.75,29.97,28.75,29.97
1231,2,20180103,28.81,28.81,28.6,28.73
1232,2,20180103,82.35,83.17,82.35,83.17
1233,2,20180103,32.07,32.07,31.76,32.03
1234,2,20180103,28.52,28.52,28.25,28.34
1235,2,20180103,25.82,26,25.51,25.82
1236,2,20180103,16.99,17.28,16.99,17.08
1256,2,20180103,123.99,123.99,123.56,123.56
1402,4,20180103,24.51,24.55,24.23,24.28
1409,4,20180103,9.08,9.17,9.04,9.04
1410,4,20180103,21,21.13,21,21.13
1413,4,20180103,9.11,9.17,9.04,9.08
1414,4,20180103,6.8,6.85,6.79,6.79
1416,4,20180103,14.17,14.39,14.17,14.39
1417,4,20180103,4.72,4.72,4.67,4.68
1418,4,20180103,7.75,7.75,7.75,7.75
1419,4,20180103,39.93,40.6,39.93,40.47
1423,4,20180103,8.46,8.46,8.39,8.4
1434,4,20180103,28,28.14,28,28.14
1439,4,20180103,20.7,20.8,20.5,20.7
1440,4,20180103,12.99,12.99,12.8,12.85
1441,4,20180103,5.4,5.59,5.4,5.58
1443,4,20180103,5.1,5.14,5.07,5.14
1444,4,20180103,10.71,10.75,10.57,10.66
1445,4,20180103,7.92,7.94,7.88,7.88
1446,4,20180103,21.29,21.29,21.14,21.29
1447,4,20180103,8.86,8.86,8.66,8.68
1449,4,20180103,5.56,5.56,5.4,5.4
1451,4,20180103,24.04,24.26,23.91,24.04
1452,4,20180103,19.36,19.49,19.31,19.36
1453,4,20180103,9.09,9.82,9.09,9.45
1454,4,20180103,8.04,8.15,8.04,8.11
1455,4,20180103,11.88,11.93,11.7,11.7
1456,4,20180103,10.6,10.6,10.3,10.4
1457,4,20180103,12.51,12.51,12.43,12.51
1459,4,20180103,9.86,9.93,9.64,9.64
1460,4,20180103,13.59,13.97,13.54,13.83
1463,4,20180103,19.35,19.35,19.16,19.19
1464,4,20180103,21.42,21.42,21.29,21.34
1465,4,20180103,14.5,14.64,14.4,14.4
1466,4,20180103,12,12.1,12,12
1467,4,20180103,11.6,12.15,11.5,12.1
1468,4,20180103,10.15,10.35,10.15,10.15
1470,4,20180103,17.53,17.53,17.53,17.53
1472,4,20180103,40.09,41.35,39.41,41.25
1473,4,20180103,23.54,23.73,23.44,23.59
1474,4,20180103,10.46,10.55,10.46,10.51
1475,4,20180103,45.1,48,45.1,45.85
1476,4,20180103,282.96,282.96,279.64,281.06
1477,4,20180103,110.51,110.95,109.63,110.95
1503,5,20180103,38.75,38.99,38.61,38.71
1504,5,20180103,26.4,26.49,26.26,26.4
1506,5,20180103,21.55,21.55,21.3,21.5
1507,5,20180103,44.67,44.99,44.39,44.99
1513,5,20180103,20.56,20.65,20.28,20.37
1514,5,20180103,10.81,10.9,10.68,10.72
1515,5,20180103,49.55,49.74,48.32,48.32
1517,5,20180103,11.28,11.28,11.09,11.13
1519,5,20180103,20.35,20.54,20.01,20.4
1526,5,20180103,60.13,63.69,59.68,61.64
1527,5,20180103,59.48,60.11,58.93,59.03
1528,5,20180103,14.08,14.45,13.94,13.94
1529,5,20180103,24.94,24.94,24.94,24.94
1530,5,20180103,29.62,29.8,29.53,29.8
1531,5,20180103,21.83,21.92,21.73,21.73
1532,5,20180103,25.02,25.11,24.93,25.02
1535,5,20180103,40.09,40.09,39.71,39.71
1537,5,20180103,126.18,126.18,124.42,125.3
1538,5,20180103,7.39,7.47,7.39,7.41
1539,5,20180103,17.87,17.87,17.73,17.73
1540,5,20180103,14.15,14.19,13.97,14.15
1541,5,20180103,43.67,43.95,41.07,41.07
1558,5,20180103,112.01,112.01,111.14,111.14
1560,5,20180103,76.8,77.78,75.99,76.53
1583,5,20180103,57.3,57.3,57.12,57.12
1589,5,20180103,62.82,63.99,62.82,63.79
1590,5,20180103,515.63,519.53,510.74,514.65
1702,2,20180103,58.21,58.21,57.39,58.03
1737,2,20180103,25.26,25.44,25.26,25.35
2049,5,20180103,290.22,296.07,288.87,289.32
2371,5,20180103,19.25,19.8,19.2,19.8
1101,1,20180104,28.36,28.44,27.91,28.25
1102,1,20180104,26.09,26.45,26,26.18
1103,1,20180104,12.08,12.49,12.08,12.08
1104,1,20180104,20.66,20.7,20.61,20.66
1108,1,20180104,8.4,8.4,8.34,8.38
1109,1,20180104,13.46,13.8,13.17,13.31
1110,1,20180104,14.41,14.46,14.26,14.31
1201,2,20180104,20.45,20.7,20.16,20.45
1203,2,20180104,24.16,24.31,24.16,24.26
1210,2,20180104,27.17,27.33,27.05,27.33
1213,2,20180104,15.55,15.8,15.55,15.6
1215,2,20180104,58.59,58.59,57.77,58.14
1216,2,20180104,60.58,60.85,60.12,60.85
1217,2,20180104,7.55,7.56,7.53,7.55
1218,2,20180104,16.22,16.22,16.08,16.12
1219,2,20180104,17.46,17.46,17.27,17.37
1220,2,20180104,9.7,9.79,9.65,9.74
1225,2,20180104,64.68,65.55,64.68,64.68
1227,2,20180104,69.38,69.57,68.83,69.57
1229,2,20180104,29.93,30.17,29.58,29.89
1231,2,20180104,28.73,28.73,28.47,28.47
1232,2,20180104,83.26,83.26,82.53,83.17
