"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1471","首利","141,598","47","366,046","2.57","2.60","2.57","2.60","+","0.06","2.58","24","2.60","6","",
"1582","信錦","382,749","271","30,918,993","82.00","82.00","80.10","80.10","-","1.90","80.10","22","80.40","52","11.08",
"2059","川湖","386,800","321","129,827,000","342.00","342.00","333.00","333.00","-","6.50","333.00","6","333.50","1","20.19",
"2301","光寶科","24,565,615","6,501","1,279,226,480","51.40","52.60","51.30","52.40"," ","0.00","52.30","60","52.40","60","12.84",
"2302","麗正","133,053","48","973,403","7.34","7.38","7.26","7.28","-","0.05","7.28","13","7.31","3","",
"2303","聯電","57,562,916","7,692","889,415,109","15.40","15.60","15.40","15.40","+","0.05","15.40","264","15.45","149","17.50",
"2305","全友","408,536","187","2,488,226","6.02","6.16","6.01","6.05","+","0.05","6.03","23","6.05","1","",
"2308","台達電","18,824,251","8,898","3,120,884,666","164.00","166.50","163.50","166.50","+","4.00","166.00","79","166.50","101","19.82",
"2312","金寶","10,506,455","2,303","115,625,952","11.20","11.20","10.90","10.90","-","0.20","10.90","1,224","10.95","6","38.93",
"2313","華通","31,441,880","14,239","1,492,231,639","48.10","48.25","47.00","47.45","-","0.40","47.40","4","47.45","14","12.76",
"2314","台揚","2,470,169","1,049","56,351,540","22.85","23.20","22.50","22.50","-","0.20","22.50","30","22.55","2","",
"2316","楠梓電","1,573,358","919","48,649,133","31.15","31.35","30.70","30.75","-","0.30","30.75","18","30.85","2","11.87",
"2317","鴻海","35,887,232","7,669","2,822,258,010","78.60","78.90","78.10","78.80","+","0.30","78.70","3","78.80","766","11.19",
"2321","東訊","45,999","28","72,158","1.47","1.61","1.47","1.53","+","0.06","1.50","8","1.53","11","",
"2323","中環","4,306,378","1,071","32,535,689","7.58","7.62","7.51","7.51","-","0.02","7.51","156","7.53","10","",
"2324","仁寶","22,620,691","5,289","442,511,209","19.55","19.75","19.35","19.50","-","0.05","19.50","651","19.55","139","13.64",
"2327","國巨","19,665,495","13,288","8,040,091,178","415.00","417.00","404.50","404.50","-","0.50","404.50","170","405.00","70","25.78",
"2328","廣宇","2,644,544","767","47,851,005","18.10","18.30","17.95","17.95","-","0.20","17.95","38","18.00","297","9.97",
"2329","華泰","11,695,600","3,025","140,238,423","12.15","12.30","11.80","11.90","-","0.45","11.90","359","11.95","3","12.53",
"2330","台積電","48,130,280","12,915","15,102,300,186","314.00","314.50","312.00","314.50"," ","0.00","314.00","8","314.50","675","20.34",
"2331","精英","1,439,732","480","16,987,335","11.55","12.00","11.55","11.85","+","0.40","11.80","3","11.85","30","",
"2332","友訊","20,496,201","4,568","293,511,764","14.45","14.95","13.90","13.90","-","0.70","13.90","1,572","14.20","2","",
