"證券代號","證券名稱.x","收盤價.x","證券名稱.y","收盤價.y"
"1471","首利",2.8,"首利",2.6
"1582","信錦",92,"信錦",80.1
"2301","光寶科",49.2,NA,NA
"2302","麗正",8.11,"麗正",7.28
"2303","聯電",16.55,"聯電",15.4
"2305","全友",6.96,"全友",6.05
"2308","台達電",151,"台達電",166.5
"2312","金寶",13.05,"金寶",10.9
"2313","華通",47,"華通",47.45
"2314","台揚",24.9,"台揚",22.5
"2316","楠梓電",35.85,"楠梓電",30.75
"2317","鴻海",90.8,"鴻海",78.8
"2321","東訊",1.28,"東訊",1.53
"2323","中環",9.6,"中環",7.51
"2324","仁寶",18.85,"仁寶",19.5
"2327","國巨",436,"國巨",404.5
"2328","廣宇",23.45,"廣宇",17.95
"2329","華泰",15.25,"華泰",11.9
"2330","台積電",339,"台積電",314.5
"2331","精英",13.95,"精英",11.85
"2332","友訊",13.65,"友訊",13.9
"2337","旺宏",38,"旺宏",32.4
"2338","光罩",34.9,"光罩",27.2
"2340","光磊",25.95,"光磊",19.8
"2342","茂矽",20.3,"茂矽",28.7
"2344","華邦電",19.65,"華邦電",13.4
"2345","智邦",175,"智邦",230
"2347","聯強",37.4,"聯強",40.8
"2349","錸德",7.14,"錸德",5.42
"2351","順德",68,"順德",48.8
"2352","佳世達",21.3,"佳世達",17.4
"2353","宏碁",17.8,"宏碁",17.55
"2354","鴻準",66.3,"鴻準",54.1
"2355","敬鵬",32.2,"敬鵬",26.1
"2356","英業達",22.95,"英業達",25.8
"2357","華碩",232,"華碩",236.5
"2359","所羅門",22,"所羅門",21.5
"2360","致茂",146,"致茂",151.5
"2362","藍天",36.7,"藍天",29.55
"2363","矽統",9.03,"矽統",12.3
"2364","倫飛",2.16,"倫飛",1.99
"2365","昆盈",8.55,"昆盈",8.8
"2367","燿華",34.15,"燿華",27.45
"2368","金像電",16.85,"金像電",33.3
"2369","菱生",10.55,"菱生",10.75
"2373","震旦行",90.5,"震旦行",90.5
"2374","佳能",16.65,"佳能",12.7
"2375","凱美",45.15,"凱美",36.2
"2376","技嘉",50,"技嘉",63
"2377","微星",88.9,"微星",102.5
"2379","瑞昱",248.5,"瑞昱",295
"2380","虹光",4.15,"虹光",3.7
"2382","廣達",64,"廣達",69.6
"2383","台光電",137.5,"台光電",161
"2385","群光",88.8,"群光",83.7
"2387","精元",38.55,"精元",37.85
"2388","威盛",36.35,"威盛",26.6
"2390","云辰",11.05,"云辰",17.65
"2392","正崴",45.9,"正崴",38.45
"2393","億光",35,"億光",32
"2395","研華",298.5,"研華",295.5
"2397","友通",84,"友通",77.1
"2399","映泰",12.5,"映泰",9.88
"2401","凌陽",13.75,"凌陽",11.95
"2402","毅嘉",16.75,"毅嘉",13.2
"2404","漢唐",195,"漢唐",205.5
"2405","浩鑫",12.3,"浩鑫",9.37
"2406","國碩",12.75,"國碩",9.18
"2408","南亞科",86,"南亞科",59.8
"2409","友達",10.15,"友達",9.25
"2412","中華電",109.5,"中華電",113
"2413","環科",17.2,"環科",12.25
"2414","精技",23.2,"精技",25.6
"2415","錩新",19.3,"錩新",17
"2417","圓剛",10.35,"圓剛",26.4
"2419","仲琦",28.65,"仲琦",22.95
"2420","新巨",36.1,"新巨",33.35
"2421","建準",46.75,"建準",51.6
"2423","固緯",27.2,"固緯",24.8
"2424","隴華",28.2,"隴華",23.55
"2425","承啟",31.2,"承啟",24.65
"2426","鼎元",15.4,"鼎元",13.95
"2427","三商電",10.6,"三商電",10.3
"2428","興勤",97.5,"興勤",90.3
"2429","銘旺科",28.6,"銘旺科",19.55
"2430","燦坤",17.25,"燦坤",18.5
"2431","聯昌",11.35,"聯昌",8.52
"2433","互盛電",56.2,"互盛電",54.6
"2434","統懋",6.8,"統懋",6.01
"2436","偉詮電",26.8,"偉詮電",27.45
"2438","翔耀",8.18,"翔耀",6.51
"2439","美律",169,"美律",136.5
"2440","太空梭",9.62,"太空梭",8.28
"2441","超豐",47.55,"超豐",45.95
