2019年,12月,4,從韓國出發的飛機，【西方蛋奶素】餐點中炒蛋是有洋蔥的，不吃五辛的人需要注意，基本上座位還算寬敞，飲料直接放在桌上會很容易往下滑而翻倒，有帶小孩的需要多注意，體驗還算好
2019年,12月,4,搭過廉價航空再來搭非廉航，感覺真的是舒服很多，而且票價差別在非特價而言已相差不多，所以還是會選擇傳統航空。雖然餐點方面還有很大進步空間，希望越來越好！
2019年,12月,4,飛機餐好吃，服務態度OK，但整體感覺可以再更好一點，一些對談上的語氣仍決稍微不夠友善，跟台灣另一家大型航空公司相比著實有感落差，飛機椅面感覺可以稍微汰新 稍微舊一點點
2019年,12月,1,糟透了 改變我們的機票及日期，從頭到尾沒有任何補償方案，服務態度非常糟糕，想換票竟然跟我們說要加2900澳，建議搭乘其他航空。
2019年,12月,4,直飛洛杉磯，飛行時間約11小時。這次素食餐點很不錯(蛋奶素、東方素)，希望往後素食餐點變化可以更豐富。免稅商品很多可選擇!
2019年,12月,3,從桃園機場出發，價格優惠，直飛方便，服務普通。 從法蘭機場回台灣時，不管有無需要退稅，記得提早到機場，當時S-bahn誤點了近20分，導致原有餘裕的時間變得非常緊張。加上機場很大，入關後也不要沈迷於免稅商店，因為登機口前才需要安檢，容易遇到大排長龍。
2019年,12月,4,直飛安大略，飛行時間長達11小時。機上娛樂，餐點都很不錯。晚餐還有冰淇淋和白酒可以享用。波音777-300ER的座位寬敞舒適。很適合長途旅行。
2019年,12月,5,CI-220/223是臺北松山-東京羽田之間的航班。成田機場是位在干葉縣成田市，距東京不是很近，但因冠了東京忽悠了很多外國人。羽田機場正式名稱是東京國際空港。去程松山起飛時間是早上9點，所以不趕，回程羽田起飛是早上7點20那就要先計畫好交通。機場有巴士到都內各地不必轉乘。建議住在東京大田區的蒲田車站(有JR蒲田及京急蒲田)附近。兩個車站相距步行約十五分鐘以內。JR蒲田車站周圍酒店很多，有的提供免費機場巴士，?免費巴士也可以在附近找到由蒲田車站到機場的公共巴士。最早的一班是4點半，票價是二倍的五百多日元，所以早上7點2O起飛也沒問題。羽田機場的好處是節省時間和金錢。而蒲田車站附近酒店也不是很貴，更不必?心電車噪音，比起臺灣的噪音是小巫見大巫，況且電車進站時都減速，半夜也沒電車。如果想住好點的那就去品川車站吧
2019年,12月,3,買舊金山來回，結果發現兩個航程的餐食居然大同小異，舊金山回程登機速度緩慢，這一點或許不該是華航的責任，該是舊金山國際機場方面的問題，早年的舊會員編號居然就直接被取消資格，導致此次里程數累積居然得重新申請加入會員，這是公司組織的顢頇愚昧所造成？還是過往官方經營的官僚承襲？機組人員態度相當良好，所以不良的感受應該來自於公司政策導致，該徹底檢討的是這家航空公司決策高層人員，這些高層如果真的再不思改進，就該徹底換血來改善
2019年,12月,5,"出發前往新加坡,搭乘CI753及CI754班機,經濟艙位置不會不舒服(本人174公分)餐點好吃,回程機型偏舊,螢幕太小.餐點就比較普通,但空姐空少服務態度都很棒,有機會還是會搭乘~"
2019年,12月,5,飛機新?，內容空間?徜舒適，機上餐點選擇多，於航程中另提供各式點心，飲品。服務人員親切，廁所非常清潔。到達目的地後，會有多位地勤人員，以不同語言指引旅客出境或轉機。非常優質航空公司。
2019年,12月,4,"服務都很到位,去程時一路上睡得很舒服,回程時因為時差關係睡不著,但空服員也一直送上飲品和食物,非常貼心，不過覺得飛機餐還是要加強一下"
2019年,12月,4,經濟艙的伸腿空間空間細，機上娛樂的電視較舊、顏色亦不太美艷。但空中服務員很友善，而機票的收費亦很合理。
2019年,12月,4,其實，這趟去香港，由於正值香港的不尋常狀態中，所以班機上的人特別少，但是空服人員的服務，仍然很到位，雖然非常熟悉華航的服務了，但是這麼多年來，覺得華航在專業和貼心上，讓人覺得品質很ㄧ致。我常常出國，要是能夠選擇，我多會以華航為優先，惟ㄧ比較可惜的，經濟艙的位子有點小....
