"char" "freq"
"的" 1872
"是" 587
"很" 448
"也" 396
"都" 382
"華航" 336
"了" 335
"我" 331
"有" 312
"服務" 304
"飛機" 286
"在" 247
"但" 217
"餐點" 204
"可以" 189
"好" 168
"座位" 167
"沒有" 167
"到" 165
"不" 161
"就" 156
"機上" 147
"時間" 145
"航空" 127
"不錯" 124
"選擇" 122
"班機" 120
"因為" 120
"搭乘" 119
"非常" 119
"人員" 119
"上" 118
"經濟艙" 110
"我們" 108
"讓" 106
"人" 106
"舒適" 105
"去" 104
"這次" 102
"親切" 101
"航班" 100
"機場" 100
"商務" 97
"要" 96
"所以" 95
"搭" 95
"台灣" 94
"會" 94
"餐" 92
"小時" 91
"回程" 91
"覺得" 90
"真的" 90
"後" 89
"還是" 89
"空服員" 86
"比較" 84
"和" 81
"艙" 80
"飛行" 80
"好吃" 78
"航空公司" 78
"坐" 78
"跟" 77
"時" 75
"又" 75
"但是" 74
"雖然" 72
"提供" 72
"為" 72
"還" 71
"小" 70
"中華" 69
"空姐" 68
"多" 68
"從" 68
"行李" 68
"旅客" 68
"空間" 67
"螢幕" 67
"娛樂" 64
"不是" 64
"感覺" 63
"台北" 63
"及" 59
"吃" 59
"乘客" 58
"才" 57
"出發" 56
"起飛" 55
"很多" 54
"態度" 54
"與" 54
"說" 53
"一個" 53
"不過" 53
"比" 52
"電影" 51
"沒" 50
"舒服" 50
"飛" 49
"其他" 49
"再" 49
"登機" 49
"較" 48
"等" 48
"空服" 47
"對" 46
"不會" 46
"這" 45
"整體" 45
"使用" 45
"而且" 43
"相當" 43
"或" 43
"還有" 42
"來說" 41
"機型" 41
"新" 41
"服員" 40
"香港" 40
"大" 40
"什麼" 39
"被" 39
"座椅" 39
"無法" 38
"A350" 38
"航線" 38
"有點" 37
"服務態度" 37
"設備" 37
"長榮" 36
"一直" 36
"如果" 36
"個人" 36
"只有" 36
"就是" 35
"貴賓室" 35
"飲料" 35
"知道" 35
"方便" 34
"體驗" 34
"轉機" 34
"去程" 33
"更" 33
"第一次" 33
"而" 33
"2" 33
"空" 33
"這是" 33
"機票" 33
"詢問" 32
"中" 32
"品質" 32
"個" 32
"水準" 32
"位置" 32
"已經" 32
"貼心" 32
"看" 31
"最" 31
"特別" 31
"希望" 31
"需要" 31
"推薦" 31
"日本" 30
"位子" 30
"豪華" 30
"以" 30
"想" 30
"幾乎" 29
"他" 29
"完全" 29
"寬敞" 29
"一" 29
"發現" 29
"你" 28
"他們" 28
"能" 28
"延誤" 28
"一樣" 28
"桃園" 28
"每次" 28
"曼谷" 27
"旅程" 27
"且" 27
"一些" 27
"降落" 27
"食物" 27
"抵達" 27
"起來" 27
"麵" 27
"應該" 27
"系統" 27
"前" 27
"餐飲" 26
"機艙" 26
"時候" 26
"直飛" 26
"把" 26
"地勤" 26
"航程" 26
"可惜" 26
"滿意" 26
"in" 25
"自己" 25
"報到" 25
"蠻" 25
"問題" 25
"經驗" 25
"大家" 25
"飛往" 24
"準時" 24
"是否" 24
"看到" 24
"可能" 24
"一點" 24
"只是" 24
"水果" 24
"這個" 24
"來回" 24
"之前" 24
"包" 23
"這樣" 23
"太" 23
"不能" 23
"卻" 23
"回" 23
"算是" 23
"一下" 23
"平穩" 23
"因" 23
"笑容" 22
"check" 22
"A330" 22
"下" 22
"空中" 22
"很棒" 22
"一般" 22
"最後" 22
"不好" 22
"用" 22
"服務員" 21
"感受" 21
"幫忙" 21
"可" 21
"3" 21
"公司" 21
"建議" 21
"遇到" 21
"得" 21
"買" 21
"短" 21
"只" 20
"十分" 20
"旅行" 20
"喜歡" 20
"安排" 20
"居然" 20
"乾淨" 20
"另外" 20
"耳機" 20
"處理" 20
"設計" 20
"差" 20
"前往" 20
"來" 20
"出國" 20
"然後" 19
"地勤人員" 19
"除了" 19
"直接" 19
"東西" 19
"口味" 19
"其實" 19
"許多" 19
"唯一" 19
"對於" 19
"令人" 19
"誤點" 19
"值得" 19
"硬體" 19
"搭機" 19
"老舊" 19
"電視" 19
"由" 19
"機會" 19
"罷工" 18
"機組人員" 18
"選" 18
"國泰" 18
"專業" 18
"尤其" 18
"她" 18
"走" 18
"舊" 18
"雪梨" 18
"只能" 18
"一次" 18
"櫃檯" 17
"不要" 17
"帶" 17
"整個" 17
"普通" 17
"後來" 17
"著" 17
"搭過" 17
"高雄" 17
"開始" 17
"友善" 17
"1" 17
"的話" 17
"當天" 17
"上機" 17
"短程" 17
"準備" 17
"此次" 17
"約" 17
"反應" 17
"素食" 17
"飛航" 17
"剛好" 17
"關係" 17
"還算" 17
"之後" 17
"實在" 17
"味道" 17
"以前" 16
"一定" 16
"美味" 16
"良好" 16
"當然" 16
"嗎" 16
"餐食" 16
"到達" 16
"下次" 16
"自助" 16
"還好" 16
"請" 16
"失望" 16
"行程" 16
"ㄧ" 16
"要求" 16
"5" 16
"結果" 15
"主動" 15
"或是" 15
"4" 15
"不用" 15
"吧" 15
"高" 15
"前面" 15
"由於" 15
"豪經艙" 15
"休息" 15
"能夠" 15
"設施" 15
"影片" 15
"影音" 15
"協助" 15
"完" 15
"向" 14
"不少" 14
"那" 14
"穩定" 14
"意外" 14
"給" 14
"小孩" 14
"公斤" 14
"舒適度" 14
"9" 14
"印象" 14
"購買" 14
"這麼" 14
"有些" 14
"機" 14
"需求" 14
"沖繩" 14
"快" 14
"送" 14
"告知" 14
"不同" 14
"東京" 14
"拿" 14
"旅遊" 14
"家人" 14
"先" 14
"月" 14
"沒想到" 14
"這種" 13
"用餐" 13
"分鐘" 13
"因此" 13
"777" 13
"長途" 13
"得到" 13
"算" 13
"機師" 13
"任何" 13
"旅行社" 13
"加上" 13
"該" 13
"此" 13
"不到" 13
"無" 13
"組員" 13
"很大" 13
"幸運" 13
