"char" "freq"
"華航" 112
"服務" 90
"飛機" 90
"好" 80
"餐點" 71
"不" 63
"可以" 62
"座位" 56
"沒有" 53
"空服員" 50
"機上" 48
"機場" 47
"不錯" 45
"航空" 45
"選擇" 43
"非常" 42
"舒適" 41
"班機" 41
"搭乘" 37
"小時" 36
"時間" 35
"搭" 34
"台灣" 34
"經濟艙" 33
"航班" 32
"商務艙" 32
"娛樂" 29
"餐" 28
"親切" 28
"飛行" 27
"大" 26
"回程" 26
"多" 26
"空間" 25
"小" 24
"登機" 24
"行李" 24
"新" 24
"好吃" 23
"出發" 22
"航空公司" 22
"旅客" 22
"螢幕" 22
"台北" 21
"提供" 21
"態度" 21
"很多" 21
"中華" 20
"吃" 19
"舒服" 19
"服務人員" 18
"罷工" 18
"等" 17
"方便" 17
"起飛" 17
"整體" 17
"電影" 17
"空姐" 17
"空服人員" 17
"乘客" 17
"服務態度" 16
"一" 15
"桃園" 15
"機票" 15
"而" 14
"香港" 14
"使用" 14
"機型" 14
"飛" 13
"旅程" 13
"體驗" 13
"位置" 13
"希望" 13
"起來" 13
"無法" 13
"個人" 13
"滿意" 12
"長榮" 12
"知道" 12
"食物" 12
"飲料" 12
"航線" 12
"地勤" 12
"座椅" 12
"個" 11
"延誤" 11
"曼谷" 11
"詢問" 11
"抵達" 11
"推薦" 11
"品質" 11
"需要" 11
"設備" 11
"來回" 10
"第一次" 10
"豪華" 10
"失望" 10
"很棒" 10
"飛往" 10
"去程" 10
"特別" 10
"轉機" 10
"經驗" 10
"老舊" 10
"服務員" 10
"機組人員" 10
"餐飲" 10
"準時" 10
"時候" 10
"兩個" 10
"系統" 10
"機艙" 9
"送" 9
"東京" 9
"車站" 9
"-" 9
"中" 9
"直飛" 9
"硬體" 9
"應該" 9
"空中" 9
"看" 9
"貼心" 9
"看到" 9
"水準" 9
"安排" 9
"友善" 8
"短程" 8
"線" 8
"笑容" 8
"發現" 8
"搭機" 8
"倫敦" 8
"寬敞" 8
"度" 8
"舊" 8
"可惜" 8
"改善" 8
"以前" 8
"問題" 8
"乾淨" 8
"處理" 8
"協助" 8
