"char" "freq"
"服務" 117
"華航" 107
"餐點" 71
"飛機" 70
"搭乘" 52
"舒適" 52
"好" 51
"親切" 50
"可以" 50
"機上" 49
"座位" 47
"非常" 43
"選擇" 43
"人員" 42
"不錯" 42
"航空" 38
"經濟艙" 37
"時間" 36
"飛行" 35
"商務" 35
"不" 34
"好吃" 33
"班機" 32
"艙" 31
"搭" 29
"餐" 27
"回程" 27
"旅客" 26
"空服員" 25
"沒有" 25
"吃" 24
"航空公司" 24
"舒服" 24
"機場" 24
"台灣" 21
"航班" 21
"貼心" 21
"等" 20
"小時" 20
"行李" 20
"空姐" 20
"中華" 20
"電影" 20
"旅程" 19
"不會" 19
"台北" 19
"多" 19
"提供" 18
"空服" 18
"中" 17
"小" 17
"登機" 17
"很多" 17
"螢幕" 17
"寬敞" 17
"空間" 17
"整體" 16
"體驗" 16
"起飛" 16
"乘客" 16
"娛樂" 16
"豪華" 15
"報到" 15
"第一次" 15
"飛" 15
"而" 15
"大" 15
"座椅" 14
"方便" 14
"很棒" 14
"飲料" 14
"使用" 14
"新" 14
"水準" 13
"服務態度" 13
"推薦" 13
"滿意" 13
"十分" 12
"延誤" 12
"感受" 12
"態度" 12
"豪經艙" 12
"專業" 12
"出發" 12
"去程" 12
"機艙" 11
"曼谷" 11
"長榮" 11
"準時" 11
"美味" 11
"位置" 11
"轉機" 11
"希望" 11
"詢問" 11
"香港" 11
"麵" 11
"日本" 10
"自助" 10
"乾淨" 10
"看到" 10
"起來" 10
"一" 10
"笑容" 10
"車站" 10
"平穩" 9
"桃園" 9
"抵達" 9
"可" 9
"機組人員" 9
"航線" 9
"需求" 9
"食物" 9
"東京" 9
"雪梨" 9
"無法" 9
"降落" 9
"設備" 9
"需要" 9
"地勤人員" 8
"系統" 8
"喜歡" 8
"機型" 8
"品質" 8
"機會" 8
"空" 8
"前往" 8
"良好" 8
"味道" 8
"航程" 8
"意外" 8
"罷工" 8
"-" 8
"安全" 8
"所有" 8
"來回" 7
"可惜" 7
"長途" 7
"棒" 7
"影片" 7
"沒想到" 7
"空中" 7
"幫忙" 7
"建議" 7
"貴賓室" 7
"搭機" 7
"穩定" 7
"特別" 7
"個人" 7
"此次" 7
"沖繩" 7
"機師" 7
"旅遊" 7
"普通" 7
"升" 7
"經驗" 7
"舒適度" 7
"排隊" 6
"快速" 6
"個" 6
"一貫" 6
"冰淇淋" 6
