"char" "freq"
"飛機" 130
"華航" 123
"服務" 119
"餐點" 94
"座位" 78
"好" 75
"可以" 75
"不錯" 65
"時間" 64
"機上" 62
"不" 54
"非常" 54
"沒有" 54
"選擇" 54
"經濟艙" 52
"人員" 52
"航班" 50
"班機" 50
"小時" 49
"航空" 47
"搭乘" 46
"機場" 43
"親切" 43
"舒適" 41
"搭" 39
"回程" 39
"空間" 38
"餐" 37
"商務" 36
"台灣" 34
"中華" 34
"多" 33
"提供" 33
"螢幕" 33
"小" 32
"飛行" 32
"好吃" 30
"航空公司" 30
"娛樂" 30
"艙" 29
"行李" 27
"很多" 27
"空服員" 25
"出發" 25
"台北" 23
"吃" 23
"新" 21
"起飛" 21
"飛" 21
"空姐" 21
"設備" 21
"整體" 20
"空服" 20
"態度" 20
"大" 19
"機型" 19
"使用" 19
"個人" 19
"登機" 19
"貴賓室" 18
"機票" 18
"特別" 18
"品質" 17
"香港" 17
"位置" 17
"長榮" 17
"電影" 17
"座椅" 17
"餐飲" 16
"水準" 16
"不會" 16
"服務態度" 16
"舒服" 16
"短" 15
"無法" 15
"發現" 15
"看" 15
"航線" 15
"服員" 15
"旅客" 15
"空" 14
"推薦" 14
"直飛" 14
"豪華" 14
"航程" 13
"第一次" 13
"準時" 13
"方便" 13
"中" 13
"位子" 13
"等" 13
"去程" 13
"個" 12
"需要" 12
"而" 12
"希望" 12
"空中" 12
"應該" 12
"乘客" 12
"口味" 12
"可惜" 12
"飲料" 12
"出國" 11
"平穩" 11
"此" 11
"麵" 11
"飛往" 11
"舊" 11
"抵達" 11
"機艙" 11
"來回" 11
"經驗" 11
"系統" 11
"服務員" 11
"一般" 11
"不能" 11
"滿意" 11
"." 11
"安排" 11
"不好" 11
"設計" 10
"影音" 10
"可能" 10
"貼心" 10
"可" 10
"休息" 10
"還算" 10
"-" 10
"關係" 10
"起來" 10
"一" 10
"寬敞" 10
"知道" 10
"值得" 9
"耳機" 9
"水果" 9
"很快" 9
"飛航" 9
