"char" "freq"
"華航" 25
"不" 22
"空服員" 21
"飛機" 19
"沒有" 17
"乘客" 17
"服務" 12
"可以" 11
"航空公司" 10
"態度" 10
"." 10
"知道" 9
"行李" 9
"不要" 9
"航空" 9
"公斤" 8
"台灣" 8
"好" 8
"服務人員" 8
"空姐" 7
"等" 6
"小姐" 6
"搭乘" 6
"提供" 6
"座位" 6
"班機" 6
"規定" 6
"調整" 5
"這種" 5
"之後" 5
"中華" 5
"問題" 5
"個" 5
"前面" 5
"地勤" 5
"選擇" 5
"旅客" 5
"就算" 5
"登機" 5
"差" 5
"未" 4
"當天" 4
"告知" 4
"怎麼" 4
"經理" 4
"椅子" 4
"空服人員" 4
"壓到" 4
"個人" 4
"一" 4
"王" 4
"台北" 4
"水杯" 4
"媽媽" 4
"發現" 4
"座椅" 4
"詢問" 4
"這麼" 4
"值班" 4
"不會" 4
"直接" 4
"啊" 4
"下" 4
"客服" 4
"居然" 4
"笑" 3
"權力" 3
"督導" 3
"先" 3
"第一次" 3
"空" 3
"美的" 3
"任何" 3
"幫忙" 3
"妳" 3
"上機" 3
"造成" 3
"機票" 3
"願意" 3
"舒服" 3
"香港" 3
"位子" 3
"出來" 3
"護照" 3
"放" 3
"洗" 3
"航班" 3
"日" 3
"里斯本" 3
"話" 3
"發生" 3
"非常" 3
"使用" 3
"而" 3
"商務艙" 3
"毛毯" 3
"往後" 3
"那個" 3
"躺" 3
"開始" 3
"不想" 3
"後面" 3
"降落" 3
"問" 3
"哪位" 3
"小時" 3
"-" 3
"月" 3
"自己" 3
"權利" 3
"卡" 3
"應該" 3
"商務" 3
"倉" 3
"朋友" 3
"無" 3
"國家" 3
"不行" 3
"機場" 3
"餐點" 3
"聽障" 2
"回答" 2
"上映" 2
"原本" 2
"賣弄" 2
"這些" 2
"一臉" 2
"國際" 2
"錢" 2
"改變" 2
"狀況" 2
"過了" 2
"前一天" 2
"選位" 2
"心情" 2
"好像" 2
"上班" 2
"這位" 2
"別人" 2
"品質" 2
"旅行" 2
"人員" 2
"桌上" 2
"行程" 2
"中間" 2
"拿" 2
"轉機" 2
"愉快" 2
"服務態度" 2
"空間" 2
"飛" 2
"很差" 2
"天" 2
"改" 2
"自行" 2
"客人" 2
"準備" 2
"年" 2
"同時" 2
"線上" 2
"經驗" 2
"教育" 2
"最大" 2
"飛往" 2
"大約" 2
"餐盤" 2
"達" 2
"壞" 2
"方便" 2
"既" 2
"聽聞" 2
"初" 2
"搭" 2
"嗯" 2
"經濟艙" 2
"送" 2
"過" 2
"乘坐" 2
"客氣" 2
"沒想到" 2
"從頭到尾" 2
"無言" 2
"第二" 2
"椅背" 2
"有趣" 2
"當" 2
"回應" 2
"事情" 2
"分鐘" 2
"不好" 2
"這時候" 2
"竟然" 2
"找" 2
"反應" 2
"前方" 2
"不能" 2
"代表" 2
"低" 2
"糟糕" 2
"跑" 2
"壓" 2
"訓練" 2
"布" 2
"預辦" 2
"一對" 2
"確認" 2
"友善" 2
"優先" 2
"教導" 2
"電影" 2
"更改" 2
"里程" 2
"多" 2
"寫" 2
"旁邊" 2
"奧克蘭" 2
"當下" 2
"到底" 2
"日本" 2
"起飛" 2
"入關" 2
"空服" 2
"聊" 2
"東西" 2
"姊" 2
"給" 2
"時間" 2
"看到" 2
"印象" 2
"不熟" 2
"睡覺" 2
"或者" 2
"通知" 2
"電話" 2
"話語" 2
"很多" 2
"溫度" 2
"共用" 2
"再也" 2
"家人" 2
"中文" 2
"無法" 2
"三" 2
"下面" 2
"沒搭過" 1
"還站" 1
"說不說" 1
"含" 1
"整台" 1
"道歉" 1
"不到" 1
"收走" 1
"粗魯" 1
"不耐" 1
"發出" 1
"丟到" 1
"衛生紙" 1
"聽到" 1
"當時" 1
"收起" 1
"桌子" 1
"老闆" 1
"老牌" 1
"排隊" 1
"問的" 1
"永遠" 1
"到布" 1
"超級" 1
"過去" 1
"不見" 1
"決定" 1
"現實" 1
"還得" 1
"想要" 1
"劃位" 1
"魯莽" 1
"道理" 1
"何況" 1
"不耐煩" 1
"坐過" 1
"通融" 1
"不讓" 1
"放置" 1
"他過" 1
"維也納" 1
"對待" 1
"前心裡" 1
"改善" 1
"航站" 1
"說出" 1
"加強" 1
"發脾氣" 1
"爛爛" 1
"片子" 1
"操作" 1
"別說" 1
"等待" 1
"即可" 1
"機器" 1
"大" 1
"母湯" 1
"放行" 1
"經營" 1
"輕描淡寫" 1
"花錢" 1
"一片" 1
"螢幕" 1
"主管" 1
"放到" 1
"值務" 1
"叫" 1
"兩個" 1
"官僚" 1
"聽" 1
"一家" 1
"中" 1
"餐桌" 1
"請人" 1
"相關" 1
"乾脆" 1
"託運" 1
"---" 1
"受教" 1
"關島" 1
"物" 1
"並對" 1
"傲慢" 1
"訂位" 1
"票" 1
"事後" 1
"粵語" 1
"倒楣" 1
"號的" 1
"開達" 1
"疑問" 1
"情形" 1
"問櫃台" 1
"互動" 1
"幾位" 1
"虛滿" 1
"誤解" 1
"選" 1
"是否是" 1
"基本上" 1
"餐畢" 1
"滿耶" 1
"所謂" 1
"回去" 1
"積極主動" 1
"同一" 1
"建議" 1
"無人" 1
"八人分" 1
"覺的" 1
"剩下" 1
"做線" 1
"從來" 1
"爸媽" 1
"馬上" 1
"爛的" 1
"怎樣" 1
"一間" 1
"看過" 1
"第二天" 1
"候補" 1
"清算" 1
"可能性" 1
"講" 1
"經過" 1
"臉" 1
"儉討" 1
"懷抱" 1
"便利" 1
"定期" 1
"歧視" 1
"世紀" 1
"推動" 1
"職班" 1
"高雄" 1
"無帶" 1
"拜拜" 1
"精神" 1
"員工素質" 1
"枕" 1
"針對" 1
"度蜜月" 1
"度" 1
"舒適" 1
"協助" 1
"希望" 1
"推說" 1
"容忍" 1
"理解" 1
"是從" 1
"裡就" 1
"直到" 1
"放心" 1
"要加" 1
"不曾" 1
"己" 1
"推薦" 1
"廉航" 1
"全程" 1
"關係" 1
"扯" 1
"嘖" 1
"加價" 1
"灑" 1
"問了" 1
"奇怪" 1
"空難" 1
"髒" 1
"問達美" 1
"義務" 1
"看不起" 1
"臨時" 1
"語塞" 1
"擠" 1
"考慮" 1
"靠窗" 1
"未來" 1
"補償" 1
"一周" 1
"舊片" 1
"多國" 1
"方案" 1
"不願理" 1
"清洗" 1
"很髒" 1
"爛" 1
"再說" 1
"人先" 1
"自助" 1
"老" 1
"口味" 1
"禦寒衣" 1
"熟悉" 1
"認" 1
"日期" 1
"辦" 1
"沒說" 1
"阻止" 1
"歧視性" 1
"資料" 1
"可能" 1
"著實" 1
"第二段" 1
"第一段" 1
"原來" 1
"規矩" 1
"一同" 1
"囉" 1
"本地" 1
"轉頭就走" 1
"母子" 1
"打" 1
"發餐" 1
"進出" 1
"原以" 1
"一定" 1
"欠" 1
"調回" 1
"料" 1
"年紀" 1
"煎" 1
"稻草" 1
"沒遇過" 1
"意思" 1
"孩童" 1
"頭上" 1
"想換票" 1
"信用" 1
"一大堆" 1
"位置" 1
"太吵" 1
"重要" 1
"對方" 1
"別" 1
"理由" 1
"大聲" 1
"不少" 1
"插進" 1
"難吃" 1
"頸" 1
"好幾位" 1
"越南" 1
"餐發餐" 1
"剩" 1
"喝水" 1
"這和" 1
"澳門" 1
"假日" 1
"徹底" 1
"錯誤" 1
"發毛" 1
"事" 1
"一律" 1
"澳" 1
"之類" 1
"出境" 1
"得到" 1
"反醒" 1
"應有" 1
"當然" 1
"號" 1
"安排" 1
"機上" 1
"不同" 1
"查詢" 1
"強迫" 1
"放餐" 1
"辦公室" 1
"還帶" 1
"阿姆斯特丹" 1
"一根" 1
"茶水" 1
"先行" 1
"干涉" 1
"堅持" 1
"過程" 1
"相" 1
"那邊" 1
"重點" 1
"走進" 1
"換我" 1
"面前" 1
"遞" 1
"自認" 1
"緣故" 1
"同個" 1
"先知" 1
"人民" 1
"後方" 1
"確定" 1
"要命" 1
"橫躺" 1
"原位" 1
"少爺" 1
"一半" 1
"變成" 1
"素質" 1
"正在" 1
"丟的" 1
"設計" 1
"離" 1
"溝通" 1
"找麻煩" 1
"的話" 1
"胡志明市" 1
"邏輯" 1
"有誤" 1
"呂" 1
"必恭必敬" 1
"假期" 1
"既然" 1
"臭" 1
"這番" 1
"泰航" 1
"拿到" 1
"百位" 1
"極度" 1
"講話" 1
"處理" 1
"北京" 1
"還不" 1
"強" 1
"之分" 1
"當地" 1
"道" 1
"拒絕" 1
"無論" 1
"親自" 1
"連第" 1
"先生" 1
"回我" 1
"開放" 1
"一種" 1
"目前" 1
"剛好" 1
"上餐" 1
"冤冤相報" 1
"開心" 1
"概念" 1
"坐在" 1
"也許" 1
"提早" 1
"縮排" 1
"箱" 1
"興奮" 1
"打到" 1
"七步" 1
"看電視" 1
"臉色" 1
"隨便" 1
"全壓" 1
"重新" 1
"體驗" 1
"直至" 1
"回覆" 1
"夠少" 1
"夠臭" 1
"毯" 1
"辦理" 1
"快" 1
"手上" 1
"霸王" 1
"還跟" 1
"名字" 1
"拿過" 1
"回國" 1
"有事" 1
"指" 1
"身為" 1
"閒聊" 1
"客戶" 1
"差不多" 1
"少數幾位" 1
"年輕" 1
"以上" 1
"級" 1
"一副" 1
"種族歧視" 1
"遇到" 1
"半" 1
"很大" 1
"離譜" 1
"港式" 1
"支援" 1
"餐送" 1
"補充" 1
"沒想" 1
"出門" 1
"該" 1
"佩" 1
"翻白眼" 1
"連句" 1
"兩歲" 1
"老公" 1
"貧貴" 1
"離職" 1
"線" 1
"飛安" 1
"疑慮" 1
"言詞" 1
"手續" 1
"一百多" 1
"排是" 1
"早就" 1
"有多差" 1
"地勤人員" 1
"非必要" 1
"坐船到" 1
"海天" 1
"客運碼頭" 1
"四月" 1
"下船" 1
"嘛" 1
"櫃檯" 1
"趕緊" 1
"辦法" 1
"自從" 1
"就讓" 1
"地方" 1
"何處" 1
"又問" 1
"一次" 1
"調正" 1
"聽不懂" 1
"片" 1
"離開" 1
"辦好" 1
"空調" 1
"爛透" 1
"公開場合" 1
"缺失" 1
"不用說" 1
"型" 1
"諸如此類" 1
"倒閉" 1
"最好" 1
"執行" 1
"起來" 1
"很少" 1
"新" 1
"別家" 1
"頓時" 1
"投訴" 1
"搞" 1
"大排長龍" 1
"甚至" 1
"搭過" 1
"同根" 1
"乖乖" 1
"還慢" 1
"天荒地老" 1
"誰" 1
"運用" 1
"老婆" 1
"懷孕" 1
"大肚子" 1
"問問" 1
"的說" 1
"孕婦" 1
"商旅" 1
"悲劇" 1
"櫃寄" 1
"糟透" 1
"一群" 1
"有夠" 1
"變" 1
"打電話" 1
"外國人" 1
"特定" 1
"故意" 1
"櫃台" 1
"大部分" 1
"水" 1
"換位" 1
"申訴" 1
"厭世" 1
"中國" 1
"亦" 1
"太多了" 1
"繳錢" 1
"晚上" 1
"轉搭" 1
"不負責任" 1
"不可思議" 1
"輸送帶" 1
"第" 1
"上午" 1
"時半" 1
"一封" 1
"收到" 1
"運送" 1
"國外" 1
"乾掉" 1
"實說" 1
"期待" 1
"員" 1
"吳遙" 1
"臉超" 1
"想像中" 1
"親切" 1
"某" 1
"結束" 1
"長途" 1
"飛行" 1
"接到" 1
"穿插" 1
"購買" 1
"不佳" 1
"幾個" 1
"幫助" 1
"法國人" 1
"進來" 1
"但輪" 1
"珊" 1
"冷到" 1
"人要" 1
"尊重" 1
"謝謝" 1
"本是" 1
"何太急" 1
"坐同" 1
"這家" 1
"位" 1
"本國" 1
"用餐" 1
"難道" 1
"字眼" 1
"留下" 1
"頭等艙" 1
"付錢" 1
"看" 1
"明明" 1
"自然" 1
"呢" 1
"今年" 1
"數量" 1
"二月" 1
"一位" 1
"女士" 1
"一排" 1
"公司" 1
"將他" 1
"此事" 1
"區的" 1
"開發" 1
"性" 1
"喜歡" 1
"三個" 1
"有關" 1
"析嗎" 1
"一堆" 1
"越南人" 1
"言論" 1
"去程" 1
"合適" 1
"兩次" 1
"生" 1
"一行" 1
"影響" 1
"電腦" 1
"看出" 1
"英文" 1
"不滿" 1
"語文" 1
"待" 1
"今天" 1
"小" 1
"滷蛋" 1
"空位" 1
"換" 1
"回來" 1
"人會" 1
"稍晚" 1
"二人" 1
"分坐" 1
"四排" 1
"落單" 1
"情侶" 1
"倆" 1
"超過" 1
"部份" 1
"識" 1
"初因" 1
"包裹" 1
"需要" 1
"邊" 1
"分公司" 1
"聯絡" 1
"連續" 1
"道歉信" 1
"將" 1
"官網" 1
"來回" 1
"各選" 1
"餐包" 1
"沒問" 1
"回程" 1
"誇張" 1
"更是" 1
"不悅" 1
"此舉" 1
"票去" 1
"糟透了" 1
"餐盒" 1
"時因" 1
