"char" "freq"
"臺北" 3
"超過" 2
"機場" 2
"不行" 2
"回來" 2
"滷蛋" 2
"空位" 2
"小" 2
"看出" 2
"一行" 2
"區的" 2
"公司" 2
"呢" 2
"頭等艙" 2
"用餐" 2
"位" 2
"睡覺" 2
"不佳" 2
"飛行" 2
"長途" 2
"親切" 2
"期待" 2
"國外" 2
"購買" 2
"輸送帶" 2
"晚上" 2
"看" 2
"時間" 2
"兩次" 2
"啊" 2
"乖乖" 2
"搞" 2
"別家" 2
"很少" 2
"最好" 2
"型" 2
"員" 2
"地方" 2
"權利" 2
"自己" 2
"地勤人員" 2
"就讓" 2
"早就" 2
"手續" 2
"飛安" 2
"線" 2
"很大" 2
"遇到" 2
"旁邊" 2
"聽不懂" 2
"體驗" 2
"重新" 2
"提早" 2
"坐在" 2
"開心" 2
"上餐" 2
"剛好" 2
"目前" 2
"一種" 2
"開放" 2
"先生" 2
"離" 2
"發現" 2
"設計" 2
"變成" 2
"後方" 2
"回應" 2
"緣故" 2
"走進" 2
"不同" 2
"而" 2
"得到" 2
"出境" 2
"不想" 2
"剩" 2
"非常" 2
"重點" 2
"一定" 2
"原以" 2
"發餐" 2
"囉" 2
"影響" 2
"原來" 2
"著實" 2
"可能" 2
"辦" 2
"自助" 2
"靠窗" 2
"擠" 2
"臨時" 2
"極度" 2
"服務" 2
"沒想到" 2
"躺" 2
"客氣" 2
"機上" 2
"過" 2
"乘坐" 2
"重要" 2
"位置" 2
"大約" 2
"行李" 2
"泰航" 2
"不能" 2
"錢" 2
"班機" 2
"從頭到尾" 2
"轉機" 2
"拿" 2
"關係" 2
"興奮" 2
"東西" 2
"倉" 2
"原本" 2
"未來" 2
"應該" 2
"方便" 2
"乘客" 2
"空間" 2
"該" 2
"月" 2
"櫃台" 2
"給" 2
"竟然" 2
"的話" 2
"小時" 2
"更改" 2
"告知" 2
"朋友" 2
"一" 2
"國家" 2
"問" 2
"來回" 2
"直接" 2
"反應" 2
"沒有" 2
"無法" 2
"上機" 2
"地勤" 2
"櫃檯" 2
"毛毯" 2
"精神" 2
"椅子" 2
"送" 2
"態度" 2
"以上" 2
"飛往" 2
"安排" 2
"座位" 2
"維也納" 2
"之後" 2
"基本上" 2
"航空公司" 2
"座椅" 2
"航空" 2
"找" 2
"椅背" 2
"奧克蘭" 2
"提供" 2
"一次" 2
"可以" 2
"飛機" 2
"旅客" 2
"代表" 2
"理由" 2
"不" 2
"中間" 2
"電話" 2
"出來" 2
"登機" 2
"有趣" 2
"難吃" 2
"搭" 2
"年紀" 2
"空服員" 2
"下" 2
"年" 2
"熟悉" 2
"準備" 2
"同時" 2
"航班" 2
"機器" 2
"坐過" 2
"行程" 2
"任何" 2
"希望" 2
"香港" 2
"口味" 2
"客人" 2
"搭乘" 2
"後面" 2
"預辦" 2
"外國人" 2
"不耐煩" 2
"馬上" 2
"聽" 2
"台灣" 2
"阿姆斯特丹" 2
"不好" 2
"好" 2
"謝謝" 2
"經理" 2
"空" 2
"心情" 2
"商務" 2
"當然" 2
"經濟艙" 2
"問題" 2
"中華" 2
"建議" 2
"妳" 2
"愉快" 2
"飛" 2
"不會" 2
"開始" 2
"個人" 2
"天荒地老" 2
"居然" 2
"客服" 2
"空姐" 2
"機票" 2
"枕" 2
"搭過" 2
"話" 2
"個" 2
"知道" 2
"幫忙" 2
"選位" 2
"人員" 2
"推薦" 2
"小姐" 2
"友善" 2
"詢問" 2
"優先" 2
"多" 2
"有事" 2
"老公" 2
"起飛" 2
"頸" 2
"空服" 2
"前一天" 2
"等" 2
"姊" 2
"看到" 2
"決定" 2
"印象" 2
"這麼" 2
"要加" 2
"很多" 2
"螢幕" 2
"溫度" 2
"物" 2
"品質" 2
"不到" 2
"加強" 2
"餐桌" 2
"爛爛" 2
"卡" 2
"當時" 2
"經驗" 2
"桌子" 2
"排隊" 2
"永遠" 2
"過去" 2
"劃位" 2
"想要" 2
"當天" 2
"先" 2
"改善" 2
"第一次" 2
"不少" 2
"三" 2
"操作" 2
"等待" 2
"大" 2
"廉航" 2
"一片" 2
"怎麼" 2
"叫" 2
"兩個" 2
"相關" 2
"超級" 2
"度" 2
"過程" 2
"票" 2
"明明" 2
"當地" 2
"狀況" 2
"選" 2
"前面" 2
"從來" 2
"高雄" 2
"舒適" 2
"理解" 2
"位子" 2
"放心" 2
"全程" 2
"需要" 2
"這種" 2
"選擇" 2
"回程" 2
"更是" 2
"公斤" 2
"講" 2
"片" 2
"水準" 2
"喜歡" 2
"起來" 2
"差" 2
"整台" 2
"情形" 2
"亦" 2
"使用" 2
"處理" 2
"考慮" 2
"新" 2
"放到" 2
"協助" 2
"性" 2
"去程" 2
"餐點" 2
"水" 2
"中" 2
"舒服" 2
"數量" 2
"旅行" 2
"託運" 2
"裡" 2
"無論" 2
"前方" 2
"拿到" 2
"降落" 2
"確認" 2
"未" 2
"電影" 2
"爸媽" 2
"打" 2
"日本" 2
"巡航" 1
"使人" 1
"記得" 1
"中途" 1
"離家近" 1
"感恩" 1
"身軀" 1
"意圖" 1
"小燈" 1
"哈德" 1
"減少" 1
"魯肉" 1
"一霎那" 1
"四天" 1
"情感" 1
"拖著" 1
"包括" 1
"前有" 1
"優的" 1
"鼓勵" 1
"五星" 1
"前帶" 1
"英辯" 1
"出" 1
"奮力" 1
"不在話下" 1
"旅途" 1
"墊" 1
"多年" 1
"擁有" 1
"點選" 1
"還沒卸" 1
"友人" 1
"成功" 1
"聊天" 1
"燻雞" 1
"被迫" 1
"貼紙" 1
"兩岸" 1
"好開心" 1
"總算" 1
"太棒" 1
"有問必答" 1
"筷" 1
"加熱" 1
"請空" 1
"美" 1
"泡" 1
"打包" 1
"內部" 1
"靈敏" 1
"掛" 1
"太硬" 1
"一併" 1
"驚奇" 1
"短" 1
"認為" 1
"如上" 1
"伸腳" 1
"深刻" 1
"兩餐" 1
"久聞" 1
"解決" 1
"擺設" 1
"發" 1
"中停" 1
"前進" 1
"佈局" 1
"拓展" 1
"不論" 1
"購得" 1
"優質服務" 1
"以前" 1
"外圍" 1
"說真的" 1
"人們" 1
"帶回" 1
"熟練" 1
"數" 1
"拍拍手" 1
"超越" 1
"意願" 1
"些" 1
"關乎" 1
"有信" 1
"晃眼" 1
"較優" 1
"上述" 1
"分" 1
"團隊" 1
"面帶" 1
"十二萬分" 1
"客" 1
