"char" "freq"
"華航" 73
"飛機" 63
"沒有" 61
"好" 46
"可以" 44
"不" 43
"時間" 38
"空服員" 36
"台灣" 36
"服務" 34
"座位" 30
"班機" 30
"餐點" 30
"機上" 27
"餐" 27
"機場" 25
"航空" 24
"回程" 23
"航班" 21
"搭" 19
"選擇" 18
"空姐" 18
"旅客" 17
"小" 17
"起飛" 16
"時候" 16
"經濟艙" 16
"小時" 15
"好吃" 15
"商務艙" 15
"吃" 14
"舒適" 14
"機型" 14
"不錯" 14
"娛樂" 14
"出發" 14
"非常" 13
"居然" 13
"多" 13
"知道" 13
"航空公司" 12
"台北" 12
"螢幕" 12
"航線" 12
"搭乘" 12
"電影" 12
"乘客" 11
"位子" 11
"公司" 11
"無法" 11
"提供" 10
"大" 10
"飛" 10
"看" 10
"飛行" 10
"新" 10
"轉機" 9
"處理" 9
"等" 9
"實在" 9
"水果" 9
"個" 9
"桃園" 9
"買" 9
"去程" 9
"雪梨" 9
"日本" 9
"使用" 9
"機票" 8
"應該" 8
"整體" 8
"登機" 8
"需要" 8
"貴賓室" 8
"食物" 8
"行李" 8
"自己" 8
"反應" 8
"下" 8
"直飛" 8
"空間" 8
"長榮" 8
"系統" 7
"失望" 7
"加上" 7
"延誤" 7
"可能" 7
"很多" 7
"內" 7
"體驗" 7
"曼谷" 7
"可惜" 7
"素食" 7
"地勤" 7
"詢問" 7
"家人" 6
"澳洲" 6
"抵達" 6
"當然" 6
"特別" 6
"硬體" 6
"年" 6
"電視" 6
"分鐘" 6
"個人" 6
"熊本" 6
"希望" 6
"直接" 6
"飲料" 6
"親切" 6
"明顯" 6
"老舊" 6
"有些" 6
"搭機" 6
"飛航" 6
"態度" 6
"道" 6
"中華" 6
"國泰" 6
"便宜" 6
"起來" 6
"快" 6
"這種" 6
"購買" 5
"當地" 5
"中間" 5
"訂" 5
"選" 5
"飛往" 5
"上機" 5
"事情" 5
"聲音" 5
"耳機" 5
"供餐" 5
"前往" 5
"安排" 5
"發生" 5
"航程" 5
"過" 5
"誤點" 5
"罷工" 5
"方便" 5
"狀況" 5
"箱子" 5
"一般" 5
"以前" 5
"發現" 5
"一" 5
"小孩" 5
"不要" 5
"部份" 5
"短" 5
"降落" 5
"不能" 5
"舊" 5
"問題" 5
"經驗" 5
"旅行社" 5
"櫃" 5
"高雄" 5
"舒服" 5
"上海" 5
"來回" 4
"確認" 4
"拿" 4
"兒童" 4
"餅乾" 4
"取消" 4
"旅行" 4
"送" 4
"現在" 4
"分" 4
"告知" 4
"吵" 4
"想要" 4
"不好" 4
"剛好" 4
"看到" 4
"給" 4
"服務態度" 4
"結果" 4
"沒想到" 4
"月" 4
"不想" 4
"該" 4
"兩個" 4
"準備" 4
"同時" 4
"香港" 4
"後面" 4
"這些" 4
"簡單" 4
"普通" 4
"票價" 4
"短程" 4
"不會" 4
"值得" 4
"期間" 4
"提醒" 4
"導致" 4
"位置" 4
"大陸" 4
"搭過" 4
"臺" 4
"麵" 4
"品質" 4
"遇到" 4
"不夠" 4
"服務人員" 4
"商務" 4
"送餐" 4
"重要" 4
"設計" 4
"櫃檯" 4
"之後" 4
"意外" 4
"搭到" 4
"要求" 4
"毯子" 4
"辛苦" 4
"南部" 4
"蘇州" 4
"屬於" 4
"機組人員" 4
"難吃" 4
"包裝" 3
"沒什麼" 3
"空中" 3
"增加" 3
"舊型" 3
"傻眼" 3
"會員" 3
"選位" 3
"關係" 3
"的話" 3
"最好" 3
"真是" 3
"鍚" 3
"無" 3
"不耐煩" 3
"機艙" 3
"訂餐" 3
"期待" 3
"先" 3
"東西" 3
"臨時" 3
"每天" 3
"只要" 3
"當初" 3
"情況" 3
"一家" 3
"座椅" 3
"退步" 3
"容易" 3
"首選" 3
"去年" 3
"怎麼" 3
"平安" 3
"感受" 3
"舊金山" 3
"豪經" 3
"擁擠" 3
"畫質" 3
"再度" 3
"速度" 3
"操作" 3
"今天" 3
"改善" 3
"航" 3
"一次" 3
"坐過" 3
"看看" 3
"竟然" 3
"辦法" 3
"波音" 3
"回來" 3
"訂位" 3
"出國" 3
"前面" 3
"高" 3
"差" 3
"價格" 3
"亦" 3
"凌晨" 3
"第二" 3
"一班" 3
"壞" 3
"這間" 3
"下午" 3
"差不多" 3
"運氣" 3
"內容" 3
"很小" 3
"拿到" 3
"主餐" 3
"算" 3
"特殊" 3
"喜歡" 3
"廉價" 3
"乾淨" 3
"辦理" 3
"大阪" 3
"長途" 3
"建議" 3
"真心" 3
"優點" 3
"聯盟" 3
"間" 3
"代碼" 3
"負責" 3
"我訂" 3
"往常" 3
"度" 3
"是從" 3
"時差" 3
"卡達" 3
"坐在" 3
"過年" 3
"彩繪" 3
"預定" 3
"提早" 3
"口味" 3
"垃圾" 3
"回到" 3
"厲害" 3
"設備" 3
"無錫" 3
"行程" 3
"石垣島" 3
"很大" 3
"等待" 3
"小朋友" 3
"加強" 3
"這家" 3
"偏偏" 3
"一如" 3
"成功" 3
"平順" 2
"高鐵" 2
"不佳" 2
"客" 2
"觸控" 2
"住" 2
"笑容" 2
"選片" 2
"洗手間" 2
"那位" 2
"玩偶" 2
"加油" 2
"差點" 2
"害怕" 2
"熊" 2
"來不及" 2
"幸好" 2
"窗口" 2
"要給" 2
"兩張" 2
"而已" 2
"玩具" 2
"至少" 2
"一定" 2
"原本" 2
"同一" 2
"櫃台" 2
"還算" 2
"小小的" 2
"幾家" 2
"搞" 2
"國際" 2
"一邊" 2
"進入" 2
"暑假" 2
"甚" 2
"網絡" 2
"羽田" 2
"松山" 2
"日航" 2
"配置" 2
"滿意" 2
"麻煩" 2
"報到" 2
"手機" 2
"排" 2
"經過" 2
"北海道" 2
"擠" 2
"驚訝" 2
"杯子" 2
"扯" 2
"資淺" 2
"這班" 2
"價錢" 2
"很棒" 2
"大量" 2
"除非" 2
"整排" 2
"椅背" 2
"隔壁" 2
"座艙" 2
"調度" 2
"影音" 2
"才能" 2
"累積" 2
"點心" 2
"幫" 2
"高層" 2
"緣故" 2
"避免" 2
"所" 2
"反映" 2
"進" 2
"靠窗" 2
"正餐" 2
"糟糕" 2
"緩慢" 2
"比不上" 2
"相比" 2
"顯然" 2
"全程" 2
"以來" 2
"填飽" 2
"上面" 2
"高度" 2
"一副" 2
"這麼" 2
"採用" 2
"清楚" 2
"得到" 2
"所在" 2
"三排" 2
"良好" 2
"不良" 2
"變得" 2
"地區" 2
"名古屋" 2
"忘" 2
"飯" 2
"破損" 2
"旅程" 2
"不少" 2
"起降" 2
"雜訊" 2
"毛毯" 2
"坐位" 2
"媽媽" 2
"過程" 2
"當時" 2
"限制" 2
"延" 2
"嚴重" 2
"蘋果" 2
"造成" 2
"記得" 2
"--" 2
"總覺" 2
"大排長龍" 2
"內裝" 2
"身為" 2
"商品" 2
"禮物" 2
"讚" 2
"而" 2
"長" 2
"甜" 2
"順利" 2
"美國" 2
"中國" 2
"部分" 2
"一航" 2
"同行" 2
"一起" 2
"免費" 2
"貴" 2
"服務員" 2
"調整" 2
"海鮮" 2
"表現" 2
"浦東" 2
"改進" 2
"此次" 2
"觀光局" 2
"徹底" 2
"顯得" 2
"設施" 2
"資深" 2
"平穩" 2
"獲得" 2
"理想" 2
"更新" 2
"不該" 2
"準點" 2
"當天" 2
"空服人員" 2
"一餐" 2
"餐時" 2
"如同" 2
"通知" 2
"親子" 2
"影片" 2
"安靜" 2
"讚許" 2
"開心" 2
"以上" 2
"艙" 2
"開始" 2
"寰宇" 2
"營運" 2
"紐約" 2
"非" 2
"肚子" 2
"半小時" 2
"不知" 2
"差別" 2
"細節" 2
"不如" 2
"餐飲" 2
"明明" 2
"到達" 2
"時段" 2
"飛回" 2
"早餐" 2
"推薦" 2
"幫忙" 2
"呢" 2
"也還" 2
"意思" 2
"考慮" 2
"紀錄" 2
"調" 2
"感謝" 2
"裡面" 2
"中" 2
"空廚" 2
"無奈" 2
"掉" 2
"細緻" 2
"之處" 2
"晚上" 2
"免稅" 2
"味道" 2
"電腦" 2
"兩位" 2
"客戶" 2
"照顧" 2
"餐是" 2
"有時候" 2
"用餐" 2
"不用" 2
"半夜" 2
"自助" 2
"便當" 2
"沒多久" 2
"份量" 2
"飛去" 2
"馬上" 2
"最大" 2
"表訂" 2
"打電話" 2
"-" 2
"托運" 2
"往後" 2
"點半" 2
"成本" 2
"自行" 2
"給的" 2
"晚" 2
"首先" 2
"這點" 2
"免稅品" 2
"長程" 2
"少" 2
"小小" 2
"之外" 2
"關島" 2
"理解" 2
"每年" 2
"第一次" 2
"開" 2
"很少" 2
"ㄑ" 2
"很久沒" 2
"清潔" 2
"基本上" 2
"換個" 2
"主動" 2
"遇上" 2
"機會" 2
"點多" 2
"難道" 2
"地勤人員" 2
"以經" 2
"隔板" 2
"冷" 2
"第二次" 2
"很差" 2
"回台" 2
"買到" 2
"劃位" 2
"國營" 1
"老字號" 1
"守法" 1
"回應" 1
"插隊" 1
"工作" 1
"停下" 1
"要接" 1
"趕上" 1
"剛" 1
"停擺" 1
"原來" 1
"按照" 1
"雖說" 1
"食慾" 1
"瞬間" 1
"兩餐" 1
"不幸" 1
"經濟" 1
"那趟" 1
"突然" 1
"捷" 1
"一清二楚" 1
"今次" 1
"幾個" 1
"營業" 1
"換血" 1
"二線" 1
"吵架" 1
"團客" 1
"優秀" 1
"全在" 1
"餓著" 1
"附加" 1
"排隊" 1
"怕" 1
"返台" 1
"午回" 1
"拿來" 1
"性價" 1
"我並" 1
"快樂" 1
"還搞" 1
"正常" 1
"童餐" 1
"直" 1
"點餐" 1
"成長" 1
"年頭" 1
"票務" 1
"太短" 1
"寬裕" 1
"步驟" 1
"決策" 1
"提升" 1
"七天" 1
"次" 1
"友達" 1
"專門" 1
"十套" 1
"不合" 1
"幸運地" 1
"早上" 1
"遲到" 1
"一罐" 1
"笑容可掬" 1
"聯飛" 1
"夜間" 1
"翻白眼" 1
"最早" 1
"鳳梨" 1
"過去" 1
"利用" 1
"盡量" 1
"心裡" 1
"航行" 1
"較大型" 1
"有加" 1
"二個" 1
"更好" 1
"升起" 1
"超吵" 1
"購" 1
"問候" 1
"明白" 1
"勞資" 1
"定時" 1
"潮流" 1
"樣子" 1
"紛紛" 1
"早就" 1
"相信" 1
"很忙" 1
"用料" 1
"問" 1
"看公放" 1
"久" 1
"口氣" 1
"柚子" 1
"美味" 1
"給嗎" 1
"取消資格" 1
"外面" 1
"欠缺" 1
"發完" 1
"鈴" 1
"選完" 1
"時有" 1
"個別" 1
"不足" 1
"就連" 1
"澳" 1
"驕傲" 1
"自然" 1
"禮服" 1
"叫" 1
"入口" 1
"父親" 1
"常" 1
"過得" 1
"裝太過" 1
"說過" 1
"很擠" 1
"車程" 1
"很長" 1
"播放" 1
"便化" 1
"遠不如" 1
"損壞" 1
"當機" 1
"難訂" 1
"盯" 1
"義大利" 1
"很晚" 1
"趕回" 1
"卡到" 1
"線" 1
"開法" 1
"不像" 1
"似乎" 1
"兩名" 1
"秉持" 1
"執飛" 1
"很優" 1
"但還" 1
"孝親" 1
"南方" 1
"心儀" 1
"出門" 1
"航段" 1
"連夜" 1
"解析度" 1
"無線網" 1
"直到" 1
"畫面" 1
"拉" 1
"東京" 1
"到位" 1
"訓練" 1
"頭枕" 1
"堅果" 1
"機器" 1
"到底" 1
"敷衍" 1
"山群" 1
"點了" 1
"雪碧" 1
"鋪" 1
"大型" 1
"啤酒" 1
"椅套" 1
"入睡" 1
"緊要" 1
"一款" 1
"太笨" 1
"牙膏" 1
"說實話" 1
"領教" 1
"艙內" 1
"應急" 1
"局限" 1
"目的地" 1
"二" 1
"為主" 1
"醬油" 1
"熱情" 1
"人像" 1
"老化" 1
"完成" 1
"美中不足" 1
"立刻" 1
"沒得選" 1
"盥洗" 1
"四口" 1
"過夜" 1
"有夠" 1
"以外" 1
"靈敏度" 1
"務必" 1
"小姐" 1
"話題" 1
"第六" 1
"破" 1
"位較" 1
"故障" 1
"燈光" 1
"剛過" 1
"觸控式" 1
"亞洲" 1
"魚肉" 1
"平反" 1
"聯營" 1
"門口" 1
"兄弟" 1
"慢到" 1
"阿姆斯特丹" 1
"絕對" 1
"這跟" 1
"類似" 1
"另行" 1
"飛到" 1
"制止" 1
"膝蓋" 1
"譙" 1
"提到" 1
"中央" 1
"餐讓" 1
"庫存" 1
"等級" 1
"為何" 1
"從來" 1
"說明" 1
"機位" 1
"無以" 1
"無須" 1
"比去" 1
"哪天" 1
"整理" 1
"是後段" 1
"忍忍" 1
"之間" 1
"樂翻天" 1
"聽" 1
"組織" 1
"不怕" 1
"同" 1
"實際" 1
"鹿兒島" 1
"北亞" 1
"店家" 1
"固體" 1
"航飛" 1
"跟不上" 1
"看起來" 1
"市區" 1
"從松山" 1
"熱茶" 1
"當下" 1
"俏俏" 1
"加" 1
"團員" 1
"坐了" 1
"推出" 1
"軟體" 1
"寄" 1
"談" 1
"第一印象" 1
"機程" 1
"評價" 1
"金邊" 1
"檢討" 1
"全家" 1
"比廉" 1
"硬" 1
"末班" 1
"該是" 1
"老人家" 1
"特別之處" 1
"身體" 1
"通常" 1
"熱食" 1
"一點點" 1
"連我" 1
"模糊不清" 1
"再者" 1
"編號" 1
"時代" 1
"太近" 1
"時會" 1
"考量" 1
"變化" 1
"經營" 1
"接近" 1
"愚昧" 1
"重新" 1
"搭廉" 1
"攜家帶眷" 1
"前視" 1
"啊" 1
"獨立" 1
"滿足" 1
"承襲" 1
"不再" 1
"改用" 1
"尾" 1
"里程" 1
"換成" 1
"這件" 1
"熱鬧" 1
"整晚" 1
"前後" 1
"好評" 1
"談論" 1
"時剛" 1
"喝醉" 1
"餐盤" 1
"索性" 1
"並非" 1
"出錯" 1
"舊型機" 1
"不到" 1
"漂亮" 1
"環境" 1
"稍加" 1
"依照" 1
"近幾年" 1
"指" 1
"過往" 1
"各" 1
"直直的" 1
"其中" 1
"哄" 1
"法航" 1
"早年" 1
"比如" 1
"沈迷" 1
"號" 1
"福利" 1
"回收" 1
"感" 1
"圓滿解決" 1
"泰" 1
"格局" 1
"餐滿" 1
"哭鬧" 1
"安檢" 1
"給我" 1
