char	freq
空間	3
大	3
吃	3
航空公司	3
座椅	3
小時	3
不	3
機上	3
舒適	3
登機	3
航空	3
航班	3
回程	3
座位	3
很多	3
非常	3
等	3
沒有	3
飛機	3
服務	3
餐點	3
好	3
選擇	3
班機	3
機場	3
空服員	3
去程	3
不錯	3
可以	3
提供	3
知道	3
個	3
搭	3
乘客	3
親切	3
台灣	3
臺北	3
新	3
個人	3
態度	3
搭乘	3
出發	3
服務人員	3
香港	3
舒服	3
時間	3
中華	3
機票	3
品質	3
抵達	2
華航	2
詢問	2
機型	2
起飛	2
螢幕	2
商務艙	2
好吃	2
旅客	2
空姐	2
航線	2
餐	2
經濟艙	2
無法	2
多	2
位置	2
設備	2
體驗	2
電影	2
空服人員	2
行李	2
飛行	2
服務態度	2
而	2
小	2
推薦	2
長榮	2
延誤	2
豪華	2
整體	2
娛樂	2
不會	2
飛	2
使用	2
一	2
位子	2
來回	2
第一次	2
飲料	2
表現	1
浪費	1
出來	1
中間	1
美味	1
評價	1
空中巴士	1
耳機	1
往後	1
躺	1
權利	1
網站	1
票	1
洗	1
明顯	1
度	1
開放	1
味道	1
當天	1
不能	1
椅子	1
前面	1
里斯本	1
買	1
壓到	1
先	1
分	1
飛往	1
很棒	1
曼谷	1
地勤	1
桃園	1
方便	1
可能	1
喜歡	1
需要	1
系統	1
罷工	1
可惜	1
希望	1
客服	1
毛毯	1
布	1
中規中矩	1
水準	1
壓	1
轉機	1
免	1
準時	1
名古屋	1
嬰兒	1
貴賓室	1
滿意	1
需求	1
公司	1
失望	1
睡覺	1
改期	1
食物	1
搭過	1
水果	1
乘	1
起來	1
中	1
調整	1
日本	1
看	1
貼心	1
特別	1
旅程	1
麵	1
不要	1
發現	1
寬敞	1
