"char" "freq"
"華航" 12
"沒有" 10
"不" 8
"飛機" 8
"等" 8
"機場" 7
"可以" 7
"機上" 7
"航空" 6
"行李" 6
"搭" 6
"空服員" 5
"問題" 5
"態度" 5
"好" 5
"香港" 5
"旅客" 5
"台北" 5
"時間" 5
"服務" 5
"提供" 5
"個人" 4
"自己" 4
"處理" 4
"非常" 4
"轉機" 4
"餐點" 4
"班機" 4
"結果" 4
"小時" 4
"座位" 4
"螢幕" 4
"搭配" 3
"差" 3
"長" 3
"實在" 3
"地勤" 3
"餐飲" 3
"小" 3
"座艙" 3
"東西" 3
"拿" 3
"完成" 3
"聯絡" 3
"可能" 3
"中華" 3
"客人" 3
"出發" 3
"娛樂" 3
"不錯" 3
"甚至" 3
"航段" 3
"水準" 2
"不同" 2
"外" 2
"殷勤" 2
"一句" 2
"舒服" 2
"不能" 2
"送餐" 2
"選擇" 2
"可" 2
"等待" 2
"回程" 2
"一本" 2
"櫃檯" 2
"航空公司" 2
"飲料" 2
"服務員" 2
"謝謝" 2
"還比" 2
"笑容" 2
"實際上" 2
"突然" 2
"設備" 2
"怎麼" 2
"經濟艙" 2
"慕斯林餐" 2
"訂票" 2
"朋友" 2
"時候" 2
"現在" 2
"點心" 2
"服務態度" 2
"去程" 2
"兩" 2
"多" 2
"如何" 2
"一" 2
"乘客" 2
"問" 2
"會員" 2
"廁所" 2
"以前" 2
"航線" 2
"排在" 2
"台灣" 2
"顧及" 2
"窄" 2
"排隊" 2
"久" 2
"航班" 2
"登機" 2
"一般" 2
"當天" 2
"應該" 2
"無法" 2
"安撫" 2
"員工" 2
"充當" 2
"方式" 2
"起飛" 2
"飛行" 2
"傻眼" 2
"工作" 2
"高端" 2
"貴賓室" 2
"看運氣" 1
"標準化" 1
"並無" 1
"在於" 1
"計較" 1
"重點" 1
"則無" 1
"正餐" 1
"觀賞" 1
"平板" 1
"系統" 1
"廉價" 1
"不及格" 1
"尊重" 1
"一聲不響" 1
"丟到" 1
"水果" 1
"餐盤" 1
"用餐" 1
"查看" 1
"將" 1
"應允" 1
"餅乾" 1
"有無" 1
"詢問" 1
"趁著" 1
"灰心" 1
"國家" 1
"身為" 1
"還為" 1
