"char" "freq"
"航空公司" 11
"服務人員" 10
"搭乘" 8
"這家" 7
"航空" 7
"專業" 5
"本次" 4
"所" 4
"空服員" 3
"態度" 3
"旅客" 3
"知識" 3
"安全" 3
"服務" 3
"具有" 3
"禮貌" 3
"廉價" 3
"員工" 3
"該" 2
"這間" 2
"來回" 2
"問題" 2
"顧客" 2
"足夠" 2
"良好" 2
"信任" 2
"親切" 2
"答" 2
"我能" 1
"有禮" 1
"保持" 1
"自信" 1
"放心" 1
"安全性" 1
"飛行" 1
"外洩" 1
"不會" 1
"資" 1
"擁有" 1
"公司" 1
"認為" 1
"方式" 1
"人員" 1
"飛航" 1
"過程" 1
"班機" 1
"安心" 1
"訂票" 1
"語言" 1
"謙誠" 1
"具" 1
"重視" 1
"一向" 1
"聲譽" 1
"面前" 1
"能力" 1
"敬業" 1
"個" 1
"消費" 1
"佳" 1
"建立" 1
"感" 1
"維持" 1
"一定" 1
"充滿信心" 1
"週到" 1
"隨時" 1
"水準" 1
"行為" 1
"信心" 1
"禮貌性" 1
"專業知識" 1
