"char" "freq"
"航空公司" 9
"需求" 7
"旅客" 6
"這家" 6
"航空" 6
"關懷" 5
"搭乘" 5
"服務人員" 5
"顧客" 5
"個別" 4
"服務" 4
"不同" 4
"主動" 4
"了解" 4
"空服員" 3
"廉價" 3
"人員" 3
"給予" 3
"本次" 3
"所" 3
"注意" 2
"利益" 2
"消費者" 2
"個人" 2
"方便" 2
"化" 2
"免稅品" 2
"時間" 2
"重視" 2
"問題" 2
"員工" 2
"表現" 1
"當我" 1
"此次" 1
"提供" 1
"迅速" 1
"公司" 1
"系統" 1
"娛樂" 1
"空中" 1
"購買" 1
"交通" 1
"接駁" 1
"表格" 1
"身體" 1
"舒適" 1
"作業" 1
"優先" 1
"該" 1
"程度" 1
"諮詢" 1
"遭遇" 1
"飛航" 1
"訂位" 1
"瞭解" 1
"餐飲" 1
"最佳" 1
"照顧" 1
"時段" 1
"態度" 1
"管道" 1
"盡量" 1
"並回" 1
"適宜" 1
"簡易" 1
"而" 1
"購票" 1
"符合" 1
"恰當" 1
"認為" 1
"能給" 1
"協助" 1
"搭機" 1
"因應" 1
"抱怨" 1
"處理" 1
"正面" 1
"積極" 1
"權益" 1
"不適" 1
"應" 1
