"char" "freq"
"航空公司" 11
"航空" 8
"廉價" 7
"這家" 7
"服務" 7
"搭乘" 5
"問題" 5
"提供" 5
"正確" 5
"該" 4
"協助" 4
"旅客" 4
"空服員" 3
"困難" 3
"飛航" 3
"品質" 2
"遭遇" 2
"所" 2
"人員" 2
"非常" 2
"服務人員" 2
"完善" 2
"高度" 2
"解決" 2
"本次" 2
"確實" 2
"行李" 2
"適時" 2
"飛機" 2
"無誤" 2
"準時" 2
"完成" 2
"資料" 2
"承諾" 2
"裝卸" 2
"空服人員" 2
"乘客" 2
"資訊" 2
"準點" 2
"特別" 1
"搭配" 1
"態度" 1
"處理速度" 1
"樂意" 1
"紀錄" 1
"幫助" 1
"關懷" 1
"給予" 1
"對此" 1
"產生" 1
"率" 1
"信任" 1
"重視" 1
"維持" 1
"舒適" 1
"認為" 1
"平穩" 1
"安心" 1
"櫃檯" 1
"需求" 1
"託運" 1
"起降" 1
"顧客" 1
"信賴感" 1
"主動" 1
"事實" 1
"正確性" 1
"必要" 1
"詢問" 1
"可以" 1
"內容" 1
"權益" 1
"過程" 1
"套裝" 1
"額外" 1
"關心" 1
"您" 1
"之處裡" 1
"提領" 1
"方便" 1
"性" 1
"記錄" 1
"速度" 1
"情形" 1
"透過" 1
"迅速" 1
"及時" 1
"告知" 1
"誤點" 1
"妥善處理" 1
"賠償" 1
"班次" 1
"熱誠" 1
"現代化" 1
"系統" 1
"要求" 1
"氣候" 1
"第一次" 1
"安全" 1
"熱忱" 1
"事項" 1
"代訂" 1
"旅館" 1
"行程" 1
"含托運" 1
"班機" 1
"高" 1
