"char" "freq"
"服務人員" 12
"航空公司" 6
"提供" 5
"這家" 4
"服務" 4
"處理" 4
"旅客" 3
"不會" 3
"迅速" 3
"空服人員" 3
"空服員" 2
"搭乘" 2
"回應" 2
"問題" 2
"親切" 2
"態度" 2
"應變能力" 2
"抱怨" 2
"人員" 2
"而" 2
"樂意" 2
"該" 2
"需要" 2
"可以" 2
"身體" 1
"長時間" 1
"嬰兒" 1
"特殊" 1
"飛機" 1
"帶位" 1
"快速" 1
"引導" 1
"做好" 1
"有效" 1
"無" 1
"語言障礙" 1
"規定" 1
"有關" 1
"告知" 1
"詳盡" 1
"認為" 1
"給予幫助" 1
"疏於" 1
"不適" 1
"登機" 1
"相關" 1
"幫助" 1
"忙碌" 1
"需求" 1
"例如" 1
"正確" 1
"究成" 1
"佳" 1
"妥善" 1
"資訊" 1
"確實" 1
"內容" 1
"旅遊" 1
"情況" 1
"乘客" 1
"要求" 1
"太忙" 1
"顧客" 1
"搭機" 1
"忽略" 1
"立即" 1
"即時" 1
"並且" 1
"哭鬧" 1
"即時性" 1
"能力" 1
"突發狀況" 1
"十分" 1
"遇到" 1
"事項" 1
"廉價" 1
"航空" 1
"員工" 1
"回答" 1
