"char" "freq"
"航空" 12
"廉價" 8
"搭乘" 7
"這家" 5
"服務人員" 5
"設備" 5
"航空公司" 4
"本次" 4
"所" 4
"機艙" 4
"舒適" 3
"穿著" 3
"認為" 3
"得宜" 3
"現代化" 2
"具有" 2
"娛樂" 2
"機上" 2
"十分" 2
"大方" 2
"座艙" 2
"儀表" 2
"儀容" 2
"整齊" 2
"吸引力" 2
"飛機" 2
"設施" 2
"空服員" 1
"餐點" 1
"乾淨" 1
"裝潢" 1
"吸引" 1
"宣傳" 1
"購栗" 1
"訂位" 1
"線" 1
"採用" 1
"劃位" 1
"態度" 1
"地勤人員" 1
"等待" 1
"行李" 1
"端正" 1
"內" 1
"多元化" 1
"候機" 1
"功能" 1
"實體" 1
"選擇" 1
"機型" 1
"型錄" 1
"提供" 1
"書報" 1
"視覺" 1
"新穎" 1
"美化" 1
"清潔" 1
"精美" 1
"時間" 1
"座椅" 1
"領取" 1
"整齊清潔" 1
"多" 1
"用心" 1
"表現" 1
"適當" 1
"指標" 1
"準備" 1
"齊全" 1
"環境" 1
"硬體" 1
"空" 1
"服裝" 1
"沿途" 1
"清楚" 1
"附近" 1
"交通運輸" 1
"系統" 1
"手冊" 1
"儀態" 1
"便捷" 1
"整潔" 1
