"一星等" "五星等" "一星等.y"
"華航" "服務" "不"
"不" "華航" "小姐"
"空服員" "餐點" "之後"
"飛機" "飛機" "飛機"
"沒有" "搭乘" "中華"
"乘客" "舒適" "啊"
"服務" "好" "華航"
"可以" "親切" "航空公司"
"航空公司" "可以" "前面"
"態度" "機上" "問題"
"知道" "座位" "關島"
"行李" "非常" "當天"
"航空" "人員" "台灣"
"公斤" "不錯" "故意"
"台灣" "航空" "旅客"
"好" "經濟艙" "服務"
"空姐" "飛行" "告知"
"等" "商務" "差"
"小姐" "不" "半"
"搭乘" "好吃" "沒有"
"提供" "班機" "一"
"座位" "艙" "知道"
"班機" "搭" "提供"
"這種" "旅客" ""
"之後" "空服員" "魯莽"
"中華" "沒有" "怎麼"
"問題" "態度" "螢幕"
"個" "吃" "同時"
"前面" "航空公司" "該"
"地勤" "舒服" "訓練"
"選擇" "機場" "不要"
"旅客" "台灣" "這種"
"登機" "貼心" "媽媽"
"差" "等" "度"
"未" "小時" ""
"當天" "行李" "聽到"
"告知" "空姐" "規矩"
"怎麼" "中華" ""
"經理" "電影" ""
"椅子" "臺北" "多"
"個人" "多" "愉快"
"一" "提供" "後面"
"臺北" "中" "椅子"
"發現" "很多" "不到"
"座椅" "螢幕" "第一次"
"詢問" "寬敞" "而"
"這麼" "空間" "最好"
"不會" "體驗" "壓到"
"直接" "起飛" "補償"
"啊" "乘客" ""
"下" "娛樂" "稻草"
"客服" "豪華" ""
"居然" "報到" ""
"先" "大" "第二天"
"第一次" "座椅" "笑"
"空" "方便" "這些"
"任何" "飲料" "希望"
"幫忙" "使用" "人員"
"妳" "新" "一行"
"上機" "水準" "壓"
"機票" "滿意" "還得"
"舒服" "延誤" "地勤"
"香港" "感受" "商務艙"
"位子" "豪經艙" "聊"
"出來" "專業" ""
"航班" "曼谷" "就算"
"話" "美味" ""
"非常" "轉機" "行李"
"使用" "希望" "幫忙"
"而" "詢問" "督導"
"毛毯" "麵" "之分"
"躺" "乾淨" ""
"開始" "看到" "餐盤"
"不想" "起來" "正在"
"後面" "一" ""
"降落" "笑容" "國家"
