一星等,五星等
華航,服務
不,華航
空服員,餐點
飛機,飛機
沒有,搭乘
乘客,舒適
服務,好
可以,親切
航空公司,可以
態度,機上
知道,座位
行李,非常
不要,選擇
航空,人員
公斤,不錯
台灣,航空
好,經濟艙
服務人員,時間
空姐,飛行
等,商務
小姐,不
搭乘,好吃
提供,班機
座位,艙
班機,搭
規定,餐
調整,回程
這種,旅客
之後,空服員
中華,沒有
問題,態度
個,吃
前面,航空公司
地勤,舒服
選擇,機場
旅客,台灣
就算,航班
登機,貼心
差,等
未,小時
當天,行李
告知,空姐
怎麼,中華
經理,電影
椅子,臺北
空服人員,旅程
壓到,不會
個人,多
一,提供
王,空服
臺北,中
水杯,小
媽媽,登機
發現,很多
座椅,螢幕
詢問,寬敞
這麼,空間
值班,整體
不會,體驗
直接,起飛
啊,乘客
下,娛樂
客服,豪華
居然,報到
笑,第一次
權力,飛
督導,而
先,大
第一次,座椅
空,方便
美的,很棒
任何,飲料
幫忙,使用
妳,新
上機,水準
造成,推薦
機票,滿意
願意,十分
舒服,延誤
香港,感受
位子,豪經艙
出來,專業
護照,出發
放,去程
洗,機艙
航班,曼谷
日,長榮
里斯本,準時
話,美味
發生,位置
非常,轉機
使用,希望
而,詢問
商務艙,香港
毛毯,麵
往後,日本
那個,自助
躺,乾淨
開始,看到
不想,起來
後面,一
降落,笑容
問,車站
哪位,平穩
小時,桃園
月,抵達
自己,可
權利,機組人員
卡,航線
應該,需求
商務,食物
倉,東京
朋友,雪梨
無,無法
國家,降落
不行,設備
機場,需要
餐點,地勤人員
聽障,系統
回答,喜歡
上映,機型
原本,品質
賣弄,機會
這些,空
一臉,前往
國際,良好
錢,味道
改變,航程
狀況,意外
過了,罷工
前一天,安全
選位,所有
心情,來回
好像,可惜
上班,長途
這位,棒
別人,影片
品質,沒想到
旅行,空中
人員,幫忙
桌上,建議
行程,貴賓室
中間,搭機
拿,穩定
轉機,特別
愉快,個人
服務態度,此次
空間,沖繩
飛,機師
很差,旅遊
天,普通
改,升
自行,經驗
客人,舒適度
準備,排隊
年,快速
同時,個
線上,一貫
經驗,霜淇淋
教育,服務員
最大,小孩
飛往,友善
大約,往返
餐盤,開始
達,謝謝
壞,出國
方便,牛肉
既,耳機
聽聞,廁所
初,享受
搭,看
嗯,短程
經濟艙,服員
送,主動
過,飛往
乘坐,餐食
客氣,值得
沒想到,一定
從頭到尾,機長
無言,整趟
第二,內容
椅背,遇到
有趣,讚
當,雞肉
回應,剛好
