"char" "freq"
"態度" 5
"服務" 4
"迅速" 3
"舒適" 3
"需求" 3
"問題" 3
"重視" 3
"抱怨" 2
"親切" 2
"處理" 2
"安全" 2
"系統" 2
"告知" 2
"表現" 2
"遭遇" 2
"時間" 2
"主動" 2
"方便" 2
"不適" 2
"行李" 2
"權益" 2
"能力" 2
"信任" 2
"現代化" 2
"協助" 2
"娛樂" 2
"訂位" 2
"提供" 2
"內容" 2
"正確" 2
"資訊" 2
"關懷" 2
"幫助" 2
"安心" 2
"正面" 1
"因應" 1
"恰當" 1
"盡量" 1
"照顧" 1
"接駁" 1
"購買" 1
"員工" 1
"個人" 1
"注意" 1
"了解" 1
"個別" 1
"顧客" 1
"專業知識" 1
"禮貌性" 1
"隨時" 1
"充滿信心" 1
"建立" 1
"謙誠" 1
"符合" 1
"語言" 1
"訂票" 1
"安全性" 1
"簡易" 1
"放心" 1
"自信" 1
"良好" 1
"足夠" 1
"知識" 1
"回答" 1
"即時性" 1
"立即" 1
"忽略" 1
"旅遊" 1
"妥善" 1
"佳" 1
"登機" 1
"交通" 1
"給予幫助" 1
"語言障礙" 1
"快速" 1
"帶位" 1
"嬰兒" 1
"信心" 1
"應變能力" 1
"回應" 1
"搭乘" 1
"即時" 1
"利益" 1
"托運" 1
"氣候" 1
"空中" 1
"突發狀況" 1
"誤點" 1
"旅客" 1
"代訂" 1
"環境" 1
"硬體" 1
"諮詢" 1
"精美" 1
"座椅" 1
"積極" 1
"適宜" 1
"平穩" 1
"服裝" 1
"有禮" 1
"用心" 1
"得宜" 1
"外洩" 1
"視覺" 1
"新穎" 1
"敬業" 1
"美化" 1
"書報" 1
"功能" 1
"多元化" 1
"端正" 1
"大方" 1
"實體" 1
"購票" 1
"承諾" 1
"飛行" 1
"確實" 1
"餐點" 1
"設施" 1
"行為" 1
"資料" 1
"完善" 1
"最佳" 1
"高度" 1
"機艙" 1
"裝潢" 1
"儀表" 1
"過程" 1
"準時" 1
"儀容" 1
"品質" 1
"齊全" 1
"水準" 1
"困難" 1
"消費者" 1
"引導" 1
"熱誠" 1
"賠償" 1
"妥善處理" 1
"適當" 1
"正確性" 1
"座艙" 1
"宣傳" 1
"劃位" 1
"優先" 1
"特殊" 1
"無誤" 1
"詢問" 1
"維持" 1
"及時" 1
"乾淨" 1
"給予" 1
"禮貌" 1
"處理速度" 1
"信賴感" 1
"手冊" 1
"免稅品" 1
"聲譽" 1
"儀態" 1
"遇到" 1
"整齊" 1
"清楚" 1
"專業" 1
"櫃檯" 1
"吸引力" 1
"託運" 1
"哭鬧" 1
"機型" 1
"穿著" 1
"便捷" 1
"規定" 1
"整潔" 1
"候機" 1
"熱忱" 1
"解決" 1
"清潔" 1
"適時" 1
"要求" 1
"準點" 1
"特別" 1
"搭配" 1
"樂意" 1
"對此" 1
"身體" 1
"速度" 1
"記錄" 1
"起降" 1
"套裝" 1
"餐飲" 1
"購栗" 1
"額外" 1
"關心" 1
"整齊清潔" 1
"提領" 1
